school,CITY,STATE,ZIP,COUNTY
LEXINGTON THEOLOGICAL SEMINARY,LEXINGTON,KY,40503,FAYETTE
LIBERTY TECHNICAL COLLEGE,CAYEY,PR,737,CAYEY
LIBERTY UNIVERSITY,LYNCHBURG,VA,24515,LYNCHBURG
LICEO DE ARTE Y TECNOLOGIA,SAN JUAN,PR,917,SAN JUAN
LIFE CHIROPRACTIC COLLEGE WEST,HAYWARD,CA,94545,ALAMEDA
LIFE PACIFIC COLLEGE,SAN DIMAS,CA,91773,LOS ANGELES
LIFE UNIVERSITY,MARIETTA,GA,30060,COBB
LIM COLLEGE,NEW YORK,NY,10022,NEW YORK
LIMESTONE COLLEGE,GAFFNEY,SC,29340,CHEROKEE
LINCOLN CHRISTIAN UNIVERSITY,LINCOLN,IL,62656,LOGAN
LINCOLN COLLEGE,LINCOLN,IL,62656,LOGAN
LINCOLN COLLEGE OF NEW ENGLAND-SOUTHINGTON,SOUTHINGTON,CT,6489,HARTFORD
LINCOLN COLLEGE OF TECHNOLOGY-COLUMBIA,COLUMBIA,MD,21046,HOWARD
LINCOLN COLLEGE OF TECHNOLOGY-DENVER,DENVER,CO,80239,DENVER
LINCOLN COLLEGE OF TECHNOLOGY-GRAND PRAIRIE,GRAND PRAIRIE,TX,75052,TARRANT
LINCOLN COLLEGE OF TECHNOLOGY-INDIANAPOLIS,INDIANAPOLIS,IN,46268,MARION
LINCOLN COLLEGE OF TECHNOLOGY-MELROSE PARK,MELROSE PARK,IL,60160,COOK
LINCOLN COLLEGE OF TECHNOLOGY-NASHVILLE,NASHVILLE,TN,37206,DAVIDSON
LINCOLN COLLEGE OF TECHNOLOGY-WEST PALM BEACH,WEST PALM BEACH,FL,33407,PALM BEACH
LINCOLN LAND COMMUNITY COLLEGE,SPRINGFIELD,IL,62794,SANGAMON
LINCOLN LAND COMMUNITY COLLEGE - LITCHFIELD,LITCHFIELD,IL,62056,MONTGOMERY
LINCOLN LAND COMMUNITY COLLEGE - TAYLORVILLE,TAYLORVILLE,IL,62568,CHRISTIAN
LINCOLN MEMORIAL UNIVERSITY,HARROGATE,TN,37752,CLAIBORNE
LINCOLN MEMORIAL UNIVERSITY - KINGSPORT CAMPUS,KINGSPORT,TN,37660,SULLIVAN
LINCOLN TECHNICAL INSTITUTE-ALLENTOWN,ALLENTOWN,PA,18104,LEHIGH
LINCOLN TECHNICAL INSTITUTE-CENTER CITY PHILADELPHIA,PHILADELPHIA,PA,19104,PHILADELPHIA
LINCOLN TECHNICAL INSTITUTE-EAST WINDSOR,EAST WINDSOR,CT,6088,HARTFORD
LINCOLN TECHNICAL INSTITUTE-ISELIN,ISELIN,NJ,8830,MIDDLESEX
LINCOLN TECHNICAL INSTITUTE-LINCOLN,LINCOLN,RI,2865,PROVIDENCE
LINCOLN TECHNICAL INSTITUTE-MAHWAH,MAHWAH,NJ,7430,BERGEN
LINCOLN TECHNICAL INSTITUTE-MOORESTOWN,MOORESTOWN,NJ,8057,BURLINGTON
LINCOLN TECHNICAL INSTITUTE-NEW BRITAIN,NEW BRITAIN,CT,6051,HARTFORD
LINCOLN TECHNICAL INSTITUTE-PARAMUS,PARAMUS,NJ,7652,BERGEN
LINCOLN TECHNICAL INSTITUTE-SHELTON,SHELTON,CT,6484,FAIRFIELD
LINCOLN TECHNICAL INSTITUTE-UNION,UNION,NJ,7083,UNION
LINCOLN TECHNICAL INSTITUTE-WHITESTONE,WHITESTONE,NY,11357,QUEENS
LINCOLN TRAIL COLLEGE,ROBINSON,IL,62454,CRAWFORD
LINCOLN UNIVERSITY,JEFFERSON CITY,MO,65101,COLE
LINCOLN UNIVERSITY,LINCOLN UNIVERSITY,PA,19352,CHESTER
LINCOLN UNIVERSITY,OAKLAND,CA,94612,ALAMEDA
LINDENWOOD UNIVERSITY,SAINT CHARLES,MO,63301,ST. CHARLES
LINDSEY HOPKINS TECHNICAL COLLEGE,MIAMI,FL,33127,MIAMI-DADE
LINDSEY WILSON COLLEGE,COLUMBIA,KY,42728,ADAIR
LINFIELD COLLEGE-MCMINNVILLE CAMPUS,MCMINNVILLE,OR,97128,YAMHILL
LINN-BENTON COMMUNITY COLLEGE,ALBANY,OR,97321,LINN
LIPSCOMB UNIVERSITY,NASHVILLE,TN,37204,DAVIDSON
LIU BRENTWOOD,BRENTWOOD,NY,11717,SUFFOLK
LIU BROOKLYN,BROOKLYN,NY,11201,KINGS
LIU HUDSON AT ROCKLAND,ORANGEBURG,NY,10962,ROCKLAND
LIU POST,BROOKVILLE,NY,11548,NASSAU
LIVELY TECHNICAL CENTER,TALLAHASSEE,FL,32304,LEON
LIVINGSTONE COLLEGE,SALISBURY,NC,28144,ROWAN
LOCK HAVEN UNIVERSITY,LOCK HAVEN,PA,17745,CLINTON
LOCK HAVEN UNIVERSITY - CLEARFIELD CAMPUS,CLEARFIELD,PA,16830,CLEARFIELD
LOGAN UNIVERSITY,CHESTERFIELD,MO,63017,ST. LOUIS
LOMA LINDA UNIVERSITY,LOMA LINDA,CA,92350,SAN BERNARDINO
LONE STAR COLLEGE SYSTEM,THE WOODLANDS,TX,77381,MONTGOMERY
LONE STAR COLLEGE SYSTEM - CYFAIR,CYPRESS,TX,77433,HARRIS
LONE STAR COLLEGE SYSTEM - KINGWOOD,HOUSTON,TX,77365,MONTGOMERY
LONE STAR COLLEGE SYSTEM - LONE STAR COLLEGE-UNIVERSITY PARK,HOUSTON,TX,77070,HARRIS
LONE STAR COLLEGE SYSTEM - NORTH HARRIS,HOUSTON,TX,77073,HARRIS
LONE STAR COLLEGE SYSTEM - TOMBALL,TOMBALL,TX,77377,HARRIS
LONG BEACH CITY COLLEGE,LONG BEACH,CA,90808,LOS ANGELES
LONG BEACH CITY COLLEGE - PACIFIC COAST CAMPUS,LONG BEACH,CA,90806,LOS ANGELES
LONG ISLAND BUSINESS INSTITUTE,FLUSHING,NY,11354,QUEENS
LONGWOOD UNIVERSITY,FARMVILLE,VA,23909,PRINCE EDWARD
LORAIN COUNTY COMMUNITY COLLEGE,ELYRIA,OH,44035,LORAIN
LORAINES ACADEMY & SPA,SAINT PETERSBURG,FL,33710,PINELLAS
LORAS COLLEGE,DUBUQUE,IA,52004,DUBUQUE
LORD FAIRFAX COMMUNITY COLLEGE,MIDDLETOWN,VA,22645,FREDERICK
LORD FAIRFAX COMMUNITY COLLEGE - FAUQUIER CAMPUS,WARRENTON,VA,20187,FAUQUIER
LORD FAIRFAX COMMUNITY COLLEGE - LURAY-PAGE COUNTY CENTER,LURAY,VA,22835,PAGE
LORENZO WALKER TECHNICAL COLLEGE,NAPLES,FL,34104,COLLIER
LOS ANGELES CITY COLLEGE,LOS ANGELES,CA,90029,LOS ANGELES
LOS ANGELES FILM SCHOOL,HOLLYWOOD,CA,90028,LOS ANGELES
LOS ANGELES HARBOR COLLEGE,WILMINGTON,CA,90744,LOS ANGELES
LOS ANGELES MISSION COLLEGE,SYLMAR,CA,91342,LOS ANGELES
LOS ANGELES ORT COLLEGE-VAN NUYS CAMPUS,VAN NUYS,CA,91411,LOS ANGELES
LOS ANGELES PIERCE COLLEGE,WOODLAND HILLS,CA,91371,LOS ANGELES
LOS ANGELES SOUTHWEST COLLEGE,LOS ANGELES,CA,90047,LOS ANGELES
LOS ANGELES TRADE TECHNICAL COLLEGE,LOS ANGELES,CA,90015,LOS ANGELES
LOS ANGELES VALLEY COLLEGE,VALLEY GLEN,CA,91401,LOS ANGELES
LOS MEDANOS COLLEGE,PITTSBURG,CA,94565,CONTRA COSTA
LOS MEDANOS COLLEGE - BRENTWOOD CENTER,BRENTWOOD,CA,94513,CONTRA COSTA
LOUISBURG COLLEGE,LOUISBURG,NC,27549,FRANKLIN
LOUISIANA AT LAFAYETTE,LAFAYETTE,LA,70503,LAFAYETTE
LOUISIANA AT MONROE,MONROE,LA,71209,OUACHITA
LOUISIANA COLLEGE,PINEVILLE,LA,71359,RAPIDES
LOUISIANA DELTA COMMUNITY COLLEGE,MONROE,LA,71203,OUACHITA
LOUISIANA DELTA COMMUNITY COLLEGE - BASTROP CAMPUS,BASTROP,LA,71221,MOREHOUSE
LOUISIANA DELTA COMMUNITY COLLEGE - LAKE PROVIDENCE CAMPUS,LAKE PROVIDENCE,LA,71254,EAST CARROLL
LOUISIANA DELTA COMMUNITY COLLEGE - TALLULAH CAMPUS,TALLULAH,LA,71284,MADISON
LOUISIANA DELTA COMMUNITY COLLEGE - WINNSBORO CAMPUS,WINNSBORO,LA,71295,FRANKLIN
LOUISIANA STATE UNIVERSITY HEALTH SCIENCES CENTER-NEW ORLEANS,NEW ORLEANS,LA,70112,ORLEANS
LOUISIANA STATE UNIVERSITY HEALTH SCIENCES CENTER-SHREVEPORT,SHREVEPORT,LA,71103,CADDO
LOUISIANA STATE UNIVERSITY-ALEXANDRIA,ALEXANDRIA,LA,71302,RAPIDES
LOUISIANA STATE UNIVERSITY-EUNICE,EUNICE,LA,70535,ACADIA
LOUISIANA STATE UNIVERSITY-SHREVEPORT,SHREVEPORT,LA,71115,CADDO
LOUISIANA TECH UNIVERSITY,RUSTON,LA,71272,LINCOLN
Louisville,LOUISVILLE,KY,40292,JEFFERSON
LOURDES UNIVERSITY,SYLVANIA,OH,43560,LUCAS
LOWER COLUMBIA COLLEGE,LONGVIEW,WA,98632,COWLITZ
LOYOLA MARYMOUNT UNIVERSITY,LOS ANGELES,CA,90045,LOS ANGELES
LOYOLA UNIVERSITY CHICAGO,CHICAGO,IL,60660,COOK
LOYOLA UNIVERSITY CHICAGO - CUNEO MANSION AND GARDENS,VERNON HILLS,IL,60061,LAKE
LOYOLA UNIVERSITY CHICAGO - HEALTH SCIENCES CAMPUS,MAYWOOD,IL,60153,COOK
LOYOLA UNIVERSITY CHICAGO - RETREAT AND ECOLOGY CAMPUS,WOODSTOCK,IL,60098,MCHENRY
LOYOLA UNIVERSITY CHICAGO - WATER TOWER CAMPUS,CHICAGO,IL,60611,COOK
LOYOLA UNIVERSITY MARYLAND,BALTIMORE,MD,21210,BALTIMORE
LOYOLA UNIVERSITY NEW ORLEANS,NEW ORLEANS,LA,70118,ORLEANS
LSU,BATON ROUGE,LA,70803,EAST BATON ROUGE
LUBBOCK CHRISTIAN UNIVERSITY,LUBBOCK,TX,79407,LUBBOCK
LUNA COMMUNITY COLLEGE,LAS VEGAS,NM,87701,SAN MIGUEL
LUNA COMMUNITY COLLEGE - SANTA ROSA SATELLITE,SANTA ROSA,NM,88435,GUADALUPE
LURLEEN B WALLACE COMMUNITY COLLEGE,ANDALUSIA,AL,36420,COVINGTON
LURLEEN B WALLACE COMMUNITY COLLEGE - GREENVILLE CAMPUS,GREENVILLE,AL,36037,BUTLER
LURLEEN B WALLACE COMMUNITY COLLEGE - LUVERNE CENTER,LUVERNE,AL,36049,CRENSHAW
LURLEEN B WALLACE COMMUNITY COLLEGE - MACARRTHUR CAMPUS,OPP,AL,36467,COVINGTON
LUTHER COLLEGE,DECORAH,IA,52101,WINNESHIEK
LUTHER RICE COLLEGE & SEMINARY,LITHONIA,GA,30038,DEKALB
LUTHER SEMINARY,SAINT PAUL,MN,55108,RAMSEY
LUZERNE COUNTY COMMUNITY COLLEGE,NANTICOKE,PA,18634,LUZERNE
LUZERNE COUNTY COMMUNITY COLLEGE - BERWICK CENTER,BERWICK,PA,18603,COLUMBIA
LYCOMING COLLEGE,WILLIAMSPORT,PA,17701,LYCOMING
LYNCHBURG COLLEGE,LYNCHBURG,VA,24501,LYNCHBURG
LYNDON STATE COLLEGE,LYNDONVILLE,VT,5851,CALEDONIA
LYNN UNIVERSITY,BOCA RATON,FL,33431,PALM BEACH
LYON COLLEGE,BATESVILLE,AR,72501,INDEPENDENCE
MACALESTER COLLEGE,SAINT PAUL,MN,55105,RAMSEY
MACMURRAY COLLEGE,JACKSONVILLE,IL,62650,MORGAN
MACOMB COMMUNITY COLLEGE,WARREN,MI,48088,MACOMB
MACOMB COMMUNITY COLLEGE - EAST CAMPUS,CLINTON,MI,48036,MACOMB
MACOMB COMMUNITY COLLEGE - M,WARREN,MI,48092,MACOMB
MACOMB COMMUNITY COLLEGE - SOUTH CAMPUS,WARREN,MI,48088,MACOMB
MADISON AREA TECHNICAL COLLEGE,MADISON,WI,53704,DANE
MADISON AREA TECHNICAL COLLEGE - COMMERCIAL AVENUE,MADISON,WI,53704,DANE
MADISON AREA TECHNICAL COLLEGE - DOWNTOWN,MADISON,WI,53703,DANE
MADISON AREA TECHNICAL COLLEGE - FORT ATKINSON,FORT ATKINSON,WI,53538,JEFFERSON
MADISON AREA TECHNICAL COLLEGE - PORTAGE,PORTAGE,WI,53901,COLUMBIA
MADISON AREA TECHNICAL COLLEGE - REEDSBURG,REEDSBURG,WI,53959,SAUK
MADISON AREA TECHNICAL COLLEGE - SOUTH,MADISON,WI,53713,DANE
MADISON AREA TECHNICAL COLLEGE - WATERTOWN,WATERTOWN,WI,53098,DODGE
MADISON AREA TECHNICAL COLLEGE - WEST,MADISON,WI,53717,DANE
MADISON MEDIA INSTITUTE-ROCKFORD CAREER COLLEGE,ROCKFORD,IL,61108,WINNEBAGO
MADISON ONEIDA BOCES-PRACTICAL NURSING PROGRAM,VERONA,NY,13478,ONEIDA
MADISONVILLE COMMUNITY COLLEGE,MADISONVILLE,KY,42431,HOPKINS
MADISONVILLE COMMUNITY COLLEGE - HEALTH CAMPUS,MADISONVILLE,KY,42431,HOPKINS
MADISONVILLE COMMUNITY COLLEGE - MUHLENBERG COUNTY CAMPUS,CENTRAL CITY,KY,42330,MUHLENBERG
MADONNA UNIVERSITY,LIVONIA,MI,48150,WAYNE
MADONNA UNIVERSITY - SOUTHWEST DETROIT,DETROIT,MI,48210,WAYNE
MAHARISHI MANAGEMENT,FAIRFIELD,IA,52557,JEFFERSON
MAINE,ORONO,ME,4469,PENOBSCOT
MAINE - HIGHMOOR FARM,MONMOUTH,ME,4259,KENNEBEC
MAINE AT AUGUSTA,AUGUSTA,ME,4330,KENNEBEC
MAINE AT AUGUSTA - UMA BANGOR,BANGOR,ME,4401,PENOBSCOT
MAINE AT FARMINGTON,FARMINGTON,ME,4938,FRANKLIN
MAINE AT FORT KENT,FORT KENT,ME,4743,AROOSTOOK
MAINE AT MACHIAS,MACHIAS,ME,4654,WASHINGTON
MAINE AT PRESQUE ISLE,PRESQUE ISLE,ME,4769,AROOSTOOK
MAINE COLLEGE OF ART,PORTLAND,ME,4101,CUMBERLAND
MAINE MARITIME ACADEMY,CASTINE,ME,4420,HANCOCK
MAINE-SYSTEM CENTRAL OFFICE,ORONO,ME,4469,PENOBSCOT
MALONE UNIVERSITY,CANTON,OH,44709,STARK
MANAGEMENT AND TECHNOLOGY,ARLINGTON,VA,22209,ARLINGTON
MANATEE TECHNICAL COLLEGE,BRADENTON,FL,34203,MANATEE
MANATEE TECHNICAL INSTITUTE - EAST CAMPUS,BRADENTON,FL,34211,MANATEE
MANCHESTER COMMUNITY COLLEGE,MANCHESTER,CT,6040,HARTFORD
MANCHESTER COMMUNITY COLLEGE,MANCHESTER,NH,3102,HILLSBOROUGH
MANCHESTER UNIVERSITY,NORTH MANCHESTER,IN,46962,WABASH
MANCHESTER UNIVERSITY - FORT WAYNE CAMPUS,FORT WAYNE,IN,46845,ALLEN
MANDL SCHOOL-THE COLLEGE OF ALLIED HEALTH,NEW YORK,NY,10019,NEW YORK
MANHATTAN AREA TECHNICAL COLLEGE,MANHATTAN,KS,66503,RILEY
MANHATTAN COLLEGE,RIVERDALE,NY,10471,BRONX
MANHATTAN INSTITUTE,NEW YORK,NY,10001,NEW YORK
MANHATTAN SCHOOL OF COMPUTER TECHNOLOGY,BROOKLYN,NY,11230,KINGS
MANHATTAN SCHOOL OF MUSIC,NEW YORK,NY,10027,NEW YORK
MANHATTANVILLE COLLEGE,PURCHASE,NY,10577,WESTCHESTER
MANOR COLLEGE,JENKINTOWN,PA,19046,MONTGOMERY
MANSFIELD PENNSYLVANIA,MANSFIELD,PA,16933,TIOGA
MARANATHA BAPTIST UNIVERSITY,WATERTOWN,WI,53094,JEFFERSON
MARIA COLLEGE OF ALBANY,ALBANY,NY,12208,ALBANY
MARIAN UNIVERSITY,INDIANAPOLIS,IN,46222,MARION
MARIAN UNIVERSITY,FOND DU LAC,WI,54935,FOND DU LAC
MARIAN UNIVERSITY - APPLETON CENTER,APPLETON,WI,54911,OUTAGAMIE
MARIAN UNIVERSITY - WEST ALLIS CENTER,WEST ALLIS,WI,53214,MILWAUKEE
MARIETTA COLLEGE,MARIETTA,OH,45750,WASHINGTON
MARION MILITARY INSTITUTE,MARION,AL,36756,PERRY
MARION TECHNICAL COLLEGE,OCALA,FL,34471,MARION
MARION TECHNICAL COLLEGE,MARION,OH,43302,MARION
MARIST COLLEGE,POUGHKEEPSIE,NY,12601,DUTCHESS
MARLBORO COLLEGE GRADUATE & PROFESSIONAL STUDIES,MARLBORO,VT,5344,WINDHAM
Marquette,MILWAUKEE,WI,53233,MILWAUKEE
MARS HILL UNIVERSITY,MARS HILL,NC,28754,MADISON
MARSHALL B KETCHUM UNIVERSITY,FULLERTON,CA,92831,ORANGE
MARSHALL UNIVERSITY,HUNTINGTON,WV,25755,CABELL
MARSHALL UNIVERSITY - ERMA BYRD HIGHER EDUCATION CENTER,BEAVER,WV,25813,RALEIGH
MARSHALL UNIVERSITY - MID-OHIO VALLEY CENTER,POINT PLEASANT,WV,25550,MASON
MARSHALL UNIVERSITY - SOUTH CHARLESTON CAMPUS,SOUTH CHARLESTON,WV,25303,KANAWHA
MARSHALL UNIVERSITY - TEAYS VALLEY REGIONAL CENTER,HURRICANE,WV,25526,PUTNAM
MARSHALLTOWN COMMUNITY COLLEGE,MARSHALLTOWN,IA,50158,MARSHALL
MARTIN COMMUNITY COLLEGE,WILLIAMSTON,NC,27892,MARTIN
MARTIN LUTHER COLLEGE,NEW ULM,MN,56073,BROWN
MARTIN METHODIST COLLEGE,PULASKI,TN,38478,GILES
MARTINSBURG COLLEGE,MARTINSBURG,WV,25404,BERKELEY
MARY,BISMARCK,ND,58504,BURLEIGH
MARY - BUTLER CENTER IN BISMARCK CAMPUS,BISMARCK,ND,58504,BURLEIGH
MARY - FARGO CAMPUS,FARGO,ND,58103,CASS
MARY - GRAND FORKS CAMPUS,GRAND FORKS,ND,58201,GRAND FORKS
MARY BALDWIN COLLEGE - KILMARNOCK CENTER,KILMARNOCK,VA,22482,LANCASTER
MARY BALDWIN COLLEGE - MURPHY DEMING COLLEGE OF HEALTH SCIENCES CAMPUS,FISHERSVILLE,VA,22939,AUGUSTA
MARY BALDWIN COLLEGE - RICHMOND CENTER,RICHMOND,VA,23229,HENRICO
MARY BALDWIN COLLEGE - SOUTH BOSTON CENTER,SOUTH BOSTON,VA,24592,HALIFAX
MARY BALDWIN COLLEGE - SOUTH HILL CENTER,SOUTH HILL,VA,23970,MECKLENBURG
MARY BALDWIN UNIVERSITY,STAUNTON,VA,24401,STAUNTON
MARY HARDIN-BAYLOR,BELTON,TX,76513,BELL
MARY WASHINGTON,FREDERICKSBURG,VA,22401,FREDERICKSBURG
MARY WASHINGTON - STAFFORD CAMPUS,FREDERICKSBURG,VA,22406,STAFFORD
MARYGROVE COLLEGE,DETROIT,MI,48221,WAYNE
Maryland,COLLEGE PARK,MD,20742,PRINCE GEORGE'S
MARYLAND BEAUTY ACADEMY,BALTIMORE,MD,21224,BALTIMORE
MARYLAND BEAUTY ACADEMY OF ESSEX,BALTIMORE,MD,21224,BALTIMORE
MARYLAND COMMUNITY COLLEGE - AVERY LEARNING CENTER CAMPUS,NEWLAND,NC,28657,AVERY
MARYLAND EASTERN SHORE,PRINCESS ANNE,MD,21853,SOMERSET
MARYLAND INSTITUTE COLLEGE OF ART,BALTIMORE,MD,21217,BALTIMORE
MARYLAND INTEGRATIVE HEALTH,LAUREL,MD,20723,HOWARD
"MARYLAND, BALTIMORE",BALTIMORE,MD,21201,BALTIMORE
MARYLAND-BALTIMORE COUNTY,BALTIMORE,MD,21250,BALTIMORE
MARYLAND-UNIVERSITY COLLEGE,ADELPHI,MD,20783,PRINCE GEORGE'S
MARYLAND-UNIVERSITY COLLEGE - HAGERSTOWN CAMPUS,HAGERSTOWN,MD,21740,WASHINGTON
MARYLAND-UNIVERSITY COLLEGE - LAUREL COLLEGE CENTER,LAUREL,MD,20707,PRINCE GEORGE'S
MARYLHURST UNIVERSITY,MARYLHURST,OR,97036,CLACKAMAS
MARYMOUNT CALIFORNIA UNIVERSITY,RANCHO PALOS VERDES,CA,90275,LOS ANGELES
MARYMOUNT MANHATTAN COLLEGE,NEW YORK,NY,10021,NEW YORK
MARYMOUNT UNIVERSITY,ARLINGTON,VA,22207,ARLINGTON
MARYVILLE COLLEGE,MARYVILLE,TN,37804,BLOUNT
MARYVILLE SAINT LOUIS,SAINT LOUIS,MO,63141,ST. LOUIS
MARYVILLE UNIVERSITY - LAKE ST LOUIS CAMPUS,LAKE ST LOUIS,MO,63367,ST. CHARLES
MARYVILLE UNIVERSITY - SCOTT AIR FORCE BASE CAMPUS,SHILOH VALLEY,IL,62225,ST. CLAIR
MARYVILLE UNIVERSITY - SUNSET HILLS CAMPUS,SUNSET HILLS,MO,63127,ST. LOUIS
MARYWOOD UNIVERSITY,SCRANTON,PA,18509,LACKAWANNA
MASSACHUSETTS BAY COMMUNITY COLLEGE,WELLESLEY HILLS,MA,2481,NORFOLK
MASSACHUSETTS BAY COMMUNITY COLLEGE - FRAMINGHAM CAMPUS,FRAMINGHAM,MA,1702,MIDDLESEX
MASSACHUSETTS COLLEGE OF ART AND DESIGN,BOSTON,MA,2115,SUFFOLK
MASSACHUSETTS COLLEGE OF LIBERAL ARTS,NORTH ADAMS,MA,1247,BERKSHIRE
MASSACHUSETTS GENERAL HOSPITAL DIETETIC INTERNSHIP,BOSTON,MA,2114,SUFFOLK
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,CAMBRIDGE,MA,2139,MIDDLESEX
MASSACHUSETTS MARITIME ACADEMY,BUZZARDS BAY,MA,2532,BARNSTABLE
MASSACHUSETTS MEDICAL SCHOOL WORCESTER,WORCESTER,MA,1655,WORCESTER
MASSACHUSETTS MEDICAL SCHOOL WORCESTER - SHREWSBURY CAMPUS,SHREWSBURY,MA,1545,WORCESTER
MASSACHUSETTS MEDICAL SCHOOL WORCESTER - SOUTH STREET CAMPUS,SHREWSBURY,MA,1545,WORCESTER
MASSACHUSETTS-AMHERST,AMHERST,MA,1003,HAMPSHIRE
MASSACHUSETTS-BOSTON,BOSTON,MA,2125,SUFFOLK
MASSACHUSETTS-DARTMOUTH,NORTH DARTMOUTH,MA,2747,BRISTOL
MASSACHUSETTS-LOWELL,LOWELL,MA,1854,MIDDLESEX
MASSAGE THERAPY TRAINING INSTITUTE,LAS CRUCES,NM,88005,DOÑA ANA
MASSASOIT COMMUNITY COLLEGE,BROCKTON,MA,2302,PLYMOUTH
MASSASOIT COMMUNITY COLLEGE - CANTON CAMPUS,CANTON,MA,2021,NORFOLK
MAYLAND COMMUNITY COLLEGE,SPRUCE PINE,NC,28777,AVERY
MAYLAND COMMUNITY COLLEGE - YANCY CAMPUS,BURNSVILLE,NC,28714,YANCEY
MAYO CLINIC GRADUATE SCHOOL OF BIOMEDICAL SCIENCES,ROCHESTER,MN,55905,OLMSTED
MAYO CLINIC SCHOOL OF HEALTH SCIENCES,ROCHESTER,MN,55905,OLMSTED
MAYO CLINIC SCHOOL OF MEDICINE,ROCHESTER,MN,55905,OLMSTED
MAYSVILLE COMMUNITY AND TECHNICAL COLLEGE,MAYSVILLE,KY,41056,MASON
MAYSVILLE COMMUNITY AND TECHNICAL COLLEGE - LICKING VALLEY CAMPUS,CYNTHIANA,KY,41031,HARRISON
MAYSVILLE COMMUNITY AND TECHNICAL COLLEGE - ROWAN CAMPUS,MOREHEAD,KY,40351,ROWAN
MAYVILLE STATE UNIVERSITY,MAYVILLE,ND,58257,TRAILL
MCCANN SCHOOL OF BUSINESS & TECHNOLOGY,MONROE,LA,71201,OUACHITA
MCCANN SCHOOL OF BUSINESS & TECHNOLOGY,POTTSVILLE,PA,17901,SCHUYLKILL
MCCANN SCHOOL OF BUSINESS & TECHNOLOGY,ALLENTOWN,PA,18109,LEHIGH
MCDANIEL COLLEGE,WESTMINSTER,MD,21157,CARROLL
MCDOWELL TECHNICAL COMMUNITY COLLEGE,MARION,NC,28752,MCDOWELL
MCHENRY COUNTY COLLEGE,CRYSTAL LAKE,IL,60012,MCHENRY
MCKENDREE UNIVERSITY,LEBANON,IL,62254,ST. CLAIR
MCLENNAN COMMUNITY COLLEGE,WACO,TX,76708,MCLENNAN
MCLENNAN COMMUNITY COLLEGE - EMERGENCY SERVICES EDUCATION CENTER,WACO,TX,76708,MCLENNAN
MCMURRY UNIVERSITY,ABILENE,TX,79697,TAYLOR
MCNALLY SMITH COLLEGE OF MUSIC,SAINT PAUL,MN,55101,RAMSEY
MCNEESE STATE UNIVERSITY,LAKE CHARLES,LA,70605,CALCASIEU
MCPHERSON COLLEGE,MCPHERSON,KS,67460,MCPHERSON
MCPHS UNIVERSITY,BOSTON,MA,2115,SUFFOLK
MCPHS UNIVERSITY - WORCESTER CAMPUS,WORCESTER,MA,1608,WORCESTER
MECH-TECH COLLEGE,CAGUAS,PR,725,CAGUAS
MEDAILLE COLLEGE,BUFFALO,NY,14214,ERIE
MEDAILLE COLLEGE - ROCHESTER CAMPUS,ROCHESTER,NY,14618,MONROE
MEDIATECH INSTITUTE-DALLAS,DALLAS,TX,75234,DALLAS
MEDICAL COLLEGE OF WISCONSIN,MILWAUKEE,WI,53226,MILWAUKEE
MEDICAL COLLEGE OF WISCONSIN - GREEN BAY CAMPUS,DE PERE,WI,54115,BROWN
MEDICAL INSTITUTE OF PALM BEACH,GREENACRES,FL,33463,PALM BEACH
MEDICAL SOUTH CAROLINA,CHARLESTON,SC,29425,CHARLESTON
MED-LIFE INSTITUTE-KISSIMMEE,KISSIMMEE,FL,34746,OSCEOLA
MEDQUEST COLLEGE,LOUISVILLE,KY,40223,JEFFERSON
MEHARRY MEDICAL COLLEGE,NASHVILLE,TN,37208,DAVIDSON
Memphis,MEMPHIS,TN,38152,SHELBY
MEMPHIS - COLLIERVILLE CTR,COLLIERVILLE,TN,38017,SHELBY
MEMPHIS - LAMBUTH,JACKSON,TN,38301,MADISON
MEMPHIS COLLEGE OF ART,MEMPHIS,TN,38104,SHELBY
MENDOCINO COLLEGE,UKIAH,CA,95482,MENDOCINO
MENLO COLLEGE,ATHERTON,CA,94027,SAN MATEO
MERCED COLLEGE,MERCED,CA,95348,MERCED
MERCED COLLEGE - LOS BANOS CAMPUS,LOS BANOS,CA,93635,MERCED
MERCER COUNTY COMMUNITY COLLEGE,WEST WINDSOR,NJ,8550,MERCER
MERCER COUNTY COMMUNITY COLLEGE - JAMES KERNEY CAMPUS,TRENTON,NJ,8608,MERCER
MERCER UNIVERSITY,MACON,GA,31207,BIBB
MERCY COLLEGE,DOBBS FERRY,NY,10522,WESTCHESTER
MERCY COLLEGE - BRONX CAMPUS,BRONX,NY,10461,BRONX
MERCY COLLEGE - MANHATTAN CAMPUS,NEW YORK,NY,10016,NEW YORK
MERCY COLLEGE - YORKTOWN HEIGHTS CAMPUS,YORKTOWN HEIGHTS,NY,10598,WESTCHESTER
MERCY COLLEGE OF HEALTH SCIENCES,DES MOINES,IA,50309,POLK
MERCY COLLEGE OF OHIO,TOLEDO,OH,43604,LUCAS
MERCY SCHOOL OF NURSING,CHARLOTTE,NC,28203,MECKLENBURG
MERCYHURST UNIVERSITY,ERIE,PA,16546,ERIE
MERCYHURST UNIVERSITY-NORTH EAST CAMPUS,NORTH EAST,PA,16428,ERIE
MEREDITH COLLEGE,RALEIGH,NC,27607,WAKE
