,fname,lname,g,pts,trb,ast,fgp,fg3p,ftp,efgp,per,ws
874,Anthony,Goldwire,266,6.3,1.3,2.8,40.7,38.6,79.2,47.9,12.7,6.4
875,Ryan,Gomes,487,10.1,4.6,1.5,44.5,34.9,79.9,48.4,12.5,19.4
876,Glen,Gondrezick,435,5.8,4.5,1.4,47.3,14.3,72.4,47.4,13.7,15.9
877,Grant,Gondrezick,91,5.0,1.6,1.3,43.8,25.0,68.7,44.7,11.1,0.8
878,Drew,Gooden,790,11.0,7.1,1.1,46.2,25.7,76.0,46.8,16.3,43.9
879,Steve,Goodrich,21,1.1,1.2,0.5,32.1,33.3,55.6,33.9,2.7,-0.2
880,Archie,Goodwin,165,6.3,2.0,1.2,42.9,23.6,70.0,45.5,11.6,1.1
881,Ben,Gordon,744,14.9,2.5,2.5,43.2,40.1,85.7,49.7,14.9,33.3
882,Drew,Gordon,9,1.9,2.0,0.2,42.1,0.0,50.0,42.1,3.7,-0.1
883,Lancaster,Gordon,201,5.6,1.3,1.5,39.1,27.1,76.7,40.0,9.4,-2.7
884,Marcin,Gortat,806,9.9,7.9,1.1,55.1,15.0,68.0,55.2,17.1,61.3
885,Andrew,Goudelock,49,4.0,0.7,0.5,39.3,34.5,87.5,46.7,8.6,0.0
886,Ricky,Grace,3,1.3,0.3,0.3,66.7,-,0.0,66.7,10.8,0.0
887,Greg,Graham,207,4.5,1.1,1.0,40.7,29.0,77.5,43.7,10.6,1.3
888,Joey,Graham,377,5.9,2.8,0.5,48.3,30.0,81.5,49.8,11.0,7.8
889,Orlando,Graham,7,1.1,1.6,0.0,30.0,-,50.0,30.0,6.7,0.0
890,Paul,Graham,179,8.4,2.4,2.0,44.8,33.9,73.9,48.7,13.7,5.7
891,Stephen,Graham,239,4.0,1.8,0.5,44.6,30.8,76.6,47.7,8.2,1.7
892,Jim,Grandholm,26,3.0,1.9,0.3,51.7,52.9,47.6,59.5,16.5,0.4
893,Ronnie,Grandison,105,2.4,1.6,0.6,40.4,16.7,71.3,41.3,9.8,1.2
894,Danny,Granger,586,16.8,4.9,1.9,43.4,38.0,84.8,50.0,16.9,48.5
895,Stewart,Granger,80,4.0,1.0,2.2,41.4,23.5,74.2,42.1,8.4,-0.1
896,Brian,Grant,756,10.5,7.4,1.2,49.0,21.4,74.6,49.1,14.9,54.5
897,Gary,Grant,552,7.9,2.3,5.5,45.0,27.8,77.6,46.2,13.4,12.0
898,Greg,Grant,274,2.8,0.9,2.7,38.3,28.1,71.0,40.8,9.9,1.6
899,Harvey,Grant,783,9.9,4.4,1.6,46.9,26.7,70.9,47.3,12.7,36.4
900,Horace,Grant,1165,11.2,8.1,2.2,50.9,6.3,69.2,50.9,16.0,118.2
901,Josh,Grant,53,3.0,1.7,0.5,40.4,27.9,75.9,46.2,11.7,0.5
902,Paul,Grant,16,1.8,1.1,0.2,44.8,-,37.5,44.8,4.0,-0.1
903,Travis,Grant,201,13.8,4.1,1.0,52.4,33.3,81.1,52.5,18.7,11.6
904,Donte,Grantham,3,0.0,0.0,0.0,0.0,0.0,-,0.0,-38.1,0.0
905,Butch,Graves,4,1.3,0.5,0.3,33.3,0.0,20.0,33.3,-0.8,-0.1
906,Aaron,Gray,318,3.4,3.7,0.7,50.9,0.0,56.2,50.9,11.5,6.2
907,Devin,Gray,27,2.5,1.4,0.3,36.5,-,61.8,36.5,11.3,0.1
908,Ed,Gray,60,6.2,1.2,0.8,33.9,34.1,81.4,37.8,9.6,0.1
909,Evric,Gray,5,2.6,0.6,0.4,26.7,25.0,100.0,30.0,2.8,-0.1
910,Stuart,Gray,386,2.3,2.6,0.4,44.6,0.0,66.3,44.6,8.6,3.3
911,Sylvester,Gray,55,8.0,5.2,2.1,42.0,25.0,67.3,42.1,11.2,0.7
912,Jeff,Grayer,438,7.4,3.0,1.4,45.7,25.5,66.3,46.3,12.0,9.0
913,Bob,Greacen,47,2.4,1.4,0.9,37.4,-,60.0,37.4,7.9,-0.1
