,fname,lname,g,pts,trb,ast,fgp,fg3p,ftp,efgp,per,ws
1327,Greg,Kelser,305,9.7,4.6,1.3,48.6,16.7,68.6,48.8,14.2,8.6
1328,Shawn,Kemp,1051,14.6,8.4,1.6,48.8,27.7,74.1,49.0,19.1,89.5
1329,Tim,Kempton,280,4.5,2.8,1.1,48.1,0.0,67.7,48.1,9.8,3.3
1330,Joe,Kennedy,168,5.7,3.6,0.8,37.6,0.0,80.4,37.6,9.3,0.2
1331,Larry,Kenon,752,17.2,8.9,2.2,48.7,14.3,78.4,48.7,17.0,58.5
1332,Jonathan,Kerner,1,0.0,0.0,0.0,0.0,-,-,0.0,-15.2,0.0
1333,Steve,Kerr,910,6.0,1.2,1.8,47.9,45.4,86.4,56.4,13.1,47.2
1334,Jerome,Kersey,1153,10.3,5.5,1.9,46.5,20.1,69.0,46.7,14.9,69.5
1335,Alec,Kessler,210,5.2,3.6,0.4,42.6,41.7,74.4,43.1,9.6,2.0
1336,Lari,Ketner,25,1.4,1.4,0.1,40.6,-,66.7,40.6,6.2,0.0
1337,Randolph,Keys,241,5.2,2.3,0.8,42.5,27.2,72.1,44.1,10.3,2.3
1338,Viktor,Khryapa,143,4.5,3.4,1.0,44.3,29.2,65.8,45.5,10.7,2.0
1339,Jason,Kidd,1391,12.6,6.3,8.7,40.0,34.9,78.5,46.4,17.9,138.6
1340,Warren,Kidd,68,3.6,3.4,0.3,59.2,-,54.7,59.2,11.3,1.4
1341,Irv,Kiffin,26,3.2,1.5,0.7,33.3,-,72.0,33.3,3.7,-0.6
1342,Carl,Kilpatrick,2,1.5,2.0,0.0,50.0,-,50.0,50.0,22.7,0.0
1343,Sean,Kilpatrick,157,10.3,2.7,1.5,41.3,33.5,86.2,48.7,13.2,2.6
1344,Bo,Kimble,105,5.5,1.5,0.9,38.6,29.1,72.8,40.8,8.1,0.1
1345,Stan,Kimbrough,13,1.6,0.5,0.5,40.9,50.0,100.0,43.2,11.2,0.1
1346,Chad,Kinch,41,2.9,0.8,1.1,36.9,-,77.8,36.9,7.0,-0.5
1347,Albert,King,534,12.1,4.2,2.2,46.1,26.8,79.1,46.6,13.1,16.3
1348,Bernard,King,874,22.5,5.8,3.3,51.8,17.2,73.0,51.9,19.2,75.4
1349,Chris,King,103,6.7,3.0,1.1,42.3,38.3,63.3,45.9,10.6,1.0
1350,Frankie,King,13,2.1,1.2,0.5,35.7,33.3,75.0,37.5,11.4,0.0
1351,Louis,King,84,6.0,1.5,1.4,36.5,23.3,81.1,38.5,7.6,0.1
1352,Reggie,King,438,8.9,6.2,1.6,51.4,0.0,69.9,51.4,13.1,24.8
1353,Rich,King,72,1.9,1.0,0.3,39.3,0.0,66.2,39.3,10.2,0.2
1354,Stacey,King,438,6.4,3.3,0.9,47.8,23.5,70.7,47.9,11.9,10.9
1355,Tarence,Kinsey,109,4.7,1.3,0.5,45.3,32.4,81.7,48.1,12.4,1.6
1356,Andrei,Kirilenko,797,11.8,5.5,2.7,47.4,31.0,75.4,50.2,18.7,75.4
1357,Alex,Kirk,5,0.8,0.2,0.2,25.0,-,100.0,25.0,8.5,0.0
1358,Curtis,Kitchen,6,1.5,1.5,0.2,50.0,0.0,75.0,50.0,18.5,0.1
1359,Greg,Kite,680,2.5,3.8,0.5,43.8,16.7,48.6,43.8,6.5,5.6
1360,Kerry,Kittles,507,14.1,3.9,2.6,43.9,37.8,78.0,49.3,16.0,44.8
1361,Joe,Kleine,965,4.8,4.1,0.6,45.3,27.1,79.4,45.4,10.5,19.1
1362,Linas,Kleiza,409,8.7,3.6,0.8,43.5,33.5,76.3,50.2,12.4,13.6
1363,Billy,Knight,821,16.9,5.3,2.3,50.7,28.4,82.7,50.9,18.2,63.9
1364,Brandin,Knight,729,7.3,2.4,6.1,41.2,13.4,78.9,41.4,14.9,32.6
1365,Brandon,Knight,729,7.3,2.4,6.1,41.2,13.4,78.9,41.4,14.9,32.6
1366,Brevin,Knight,729,7.3,2.4,6.1,41.2,13.4,78.9,41.4,14.9,32.6
1367,Negele,Knight,276,6.2,1.3,2.8,43.6,26.3,73.0,44.4,11.3,4.2
1368,Toby,Knight,283,12.9,5.1,1.2,51.9,0.0,74.0,51.9,15.1,15.7
1369,Travis,Knight,371,3.4,3.1,0.6,43.8,25.9,69.6,44.4,11.4,7.9
1370,Rod,Knowles,9,1.0,1.0,0.0,28.6,-,33.3,28.6,-0.6,-0.1
1371,Bart,Kofoed,111,1.5,0.5,1.0,38.7,18.8,61.4,39.7,5.7,0.0
1372,Jon,Koncak,784,4.5,4.9,1.0,47.0,22.6,59.7,47.3,9.8,29.2
1373,Joe,Kopicki,118,3.7,2.7,0.7,49.3,27.3,81.2,49.8,14.2,3.5
1374,Frank,Kornet,89,1.9,1.1,0.3,36.9,26.3,59.6,39.8,6.2,0.0
1375,Yaroslav,Korolev,34,1.1,0.5,0.4,28.3,25.0,62.5,31.5,5.6,-0.1
1376,Kosta,Koufos,686,5.7,5.0,0.5,53.4,0.0,58.2,53.4,15.4,28.3
1377,Arvid,Kramer,8,2.0,1.5,0.4,31.8,-,100.0,31.8,6.6,-0.1
1378,Barry,Kramer,59,3.6,1.9,0.7,33.6,0.0,72.8,33.6,9.3,0.1
1379,Joel,Kramer,328,3.8,2.8,1.0,47.9,0.0,73.7,47.9,10.8,9.1
1380,Viacheslav,Kravtsov,45,2.2,1.4,0.2,67.2,-,33.3,67.2,13.6,0.4
1381,Wayne,Kreklow,25,1.2,0.5,0.4,23.4,25.0,70.0,24.5,-1.9,-0.3
1382,Tom,Kron,224,6.0,3.0,2.7,38.7,36.8,76.8,39.0,11.4,2.6
1383,Nenad,Krstic,419,10.0,5.4,0.8,49.4,14.3,73.0,49.4,13.6,21.5
1384,Larry,Krystkowiak,420,8.2,4.9,1.2,45.7,13.9,79.5,45.8,12.0,15.6
1385,Bruce,Kuczenski,15,1.9,1.5,0.5,27.0,-,66.7,27.0,-0.5,-0.4
1386,John,Kuester,135,3.3,1.0,2.3,42.7,0.0,83.3,42.7,11.4,2.0
1387,Toni,Kukoc,846,11.6,4.2,3.7,44.7,33.5,72.9,49.2,17.3,59.6
1388,Kevin,Kunnert,555,8.3,7.3,1.4,47.6,-,68.2,47.6,14.6,22.0
1389,Mitch,Kupchak,510,10.2,5.4,0.7,52.3,0.0,70.4,52.3,16.2,27.1
1390,Rob,Kurz,40,3.9,2.0,0.5,38.9,39.5,80.0,44.7,11.8,0.7
1391,Ibrahim,Kutluay,5,0.0,0.2,0.0,0.0,-,-,0.0,-12.9,-0.1
1392,Ognjen,Kuzmic,37,0.9,1.0,0.2,52.0,-,60.0,52.0,7.6,0.2
1393,Mindaugas,Kuzminskas,69,6.2,1.8,1.0,42.6,32.1,80.9,49.9,12.3,1.1
1394,Sam,Lacey,1002,10.3,9.7,3.7,44.1,18.8,73.8,44.1,14.2,50.9
1395,Christian,Laettner,868,12.8,6.7,2.6,48.0,26.1,82.0,48.6,16.9,64.9
1396,Oliver,Lafayette,1,7.0,4.0,2.0,50.0,50.0,-,58.3,12.8,0.0
1397,Raef,LaFrentz,563,10.1,6.1,1.1,46.6,36.3,71.1,51.6,16.1,39.4
1398,Tom,LaGarde,312,7.6,5.1,1.5,46.2,0.0,64.0,46.2,11.5,6.5
1399,Bill,Laimbeer,1068,12.9,9.7,2.0,49.8,32.6,83.7,50.7,16.1,105.6
1400,Bo,Lamar,273,16.4,2.7,3.9,41.1,26.7,76.8,42.4,14.6,5.4
1401,Doron,Lamb,100,3.5,1.0,0.8,38.1,39.4,70.0,45.8,6.3,0.1
1402,John,Lambert,446,3.8,3.3,0.6,42.8,8.3,69.3,42.8,10.4,6.9
1403,Jeff,Lamp,291,5.1,1.5,0.9,47.0,22.2,84.1,47.4,11.5,5.2
1404,Maciej,Lampe,64,3.4,2.2,0.3,40.7,25.0,67.6,41.1,8.5,-0.2
1405,Jim,Lampley,1,3.0,5.0,0.0,33.3,-,50.0,33.3,8.3,0.0
1406,Sean,Lampley,45,4.5,2.1,0.7,46.3,0.0,69.1,46.3,13.5,1.1
1407,Carl,Landry,513,10.8,4.9,0.7,53.5,30.0,78.5,53.6,17.5,35.9
1408,Marcus,Landry,18,2.4,1.1,0.0,37.2,32.1,60.0,47.7,7.2,-0.1
1409,Mark,Landsberger,437,5.6,6.1,0.5,48.1,0.0,52.2,48.1,12.8,12.2
1410,Jerome,Lane,218,5.3,5.8,1.5,44.1,6.3,37.9,44.2,12.6,2.3
1411,Andrew,Lang,737,6.0,4.8,0.6,47.0,25.0,74.4,47.1,11.7,28.6
1412,Antonio,Lang,737,6.0,4.8,0.6,47.0,25.0,74.4,47.1,11.7,28.6
1413,James,Lang,11,1.0,1.0,0.2,44.4,-,60.0,44.4,6.6,0.1
1414,Trajan,Langdon,119,5.4,1.3,1.3,41.6,39.6,91.0,49.7,12.2,2.9
1415,Keith,Langford,2,1.0,1.0,0.0,25.0,-,-,25.0,-2.4,0.0
1416,Dan,Langhi,133,3.0,1.5,0.3,39.1,28.9,61.3,40.3,8.8,0.3
1417,Bob,Lanier,959,20.1,10.1,3.1,51.4,15.4,76.7,51.4,21.7,117.1
1418,Nicolas,Laprovittola,18,3.3,0.6,1.6,42.6,37.0,100.0,53.2,8.4,0.2
1419,Shane,Larkin,256,5.5,1.9,2.9,42.2,33.6,77.7,46.8,11.4,4.4
1420,Rusty,LaRue,98,5.0,1.3,1.6,37.6,31.8,84.1,43.1,8.9,0.5
1421,Stephane,Lasme,16,5.2,3.3,0.2,45.1,-,59.4,45.1,11.7,0.3
1422,Dave,Lattin,263,7.2,5.1,0.7,47.7,0.0,63.1,47.7,13.6,6.3
1423,Priest,Lauderdale,74,3.4,1.9,0.4,47.2,0.0,55.4,47.2,11.3,-0.8
1424,Joffrey,Lauvergne,208,5.6,3.8,0.9,47.9,28.5,71.9,50.4,14.3,5.2
1425,Acie,Law,188,3.9,1.0,1.6,41.3,23.5,77.8,43.4,9.9,1.6
1426,Gani,Lawal,1,0.0,0.0,0.0,-,-,-,-,-9.1,0.0
1427,Ed,Lawrence,3,4.0,1.3,0.3,62.5,-,50.0,62.5,19.4,0.1
1428,Jason,Lawson,17,1.5,1.6,0.3,60.0,-,80.0,60.0,21.5,0.5
1429,Ty,Lawson,551,12.7,2.7,6.0,46.0,35.9,77.0,50.4,17.2,42.1
1430,Allen,Leavell,700,9.5,1.7,4.8,45.0,23.4,83.4,46.2,14.7,29.9
1431,Jeff,Lebo,4,1.5,1.0,0.8,28.6,-,100.0,28.6,5.8,0.0
1432,Eric,Leckner,449,4.1,3.2,0.5,50.8,0.0,66.9,50.8,9.8,6.2
1433,Ricky,Ledo,28,3.9,1.4,0.8,33.6,37.1,76.9,39.4,7.0,-0.6
1434,Butch,Lee,96,8.1,1.4,3.2,45.0,-,76.1,45.0,13.5,2.4
1435,Damion,Lee,58,6.4,3.2,0.3,44.2,33.3,85.7,44.6,17.3,1.9
1436,David,Lee,58,6.4,3.2,0.3,44.2,33.3,85.7,44.6,17.3,1.9
1437,Doug,Lee,73,2.3,0.6,0.4,41.2,31.0,70.0,47.3,11.0,0.7
1438,Greg,Lee,10,2.4,0.5,2.4,52.6,-,100.0,52.6,11.9,0.1
1439,Keith,Lee,182,6.1,4.7,1.0,45.1,16.7,74.6,45.2,12.2,3.7
1440,Kurk,Lee,48,1.4,0.6,0.7,26.8,20.0,89.3,28.9,5.6,-0.1
1441,Malcolm,Lee,36,3.9,1.8,1.4,38.2,29.4,70.3,41.9,9.5,0.4
1442,Rock,Lee,448,7.3,2.7,3.8,41.6,32.1,70.5,42.3,12.4,10.7
1443,Ron,Lee,448,7.3,2.7,3.8,41.6,32.1,70.5,42.3,12.4,10.7
1444,Tim,Legler,310,7.0,1.6,1.3,44.7,43.1,84.0,52.3,13.6,12.1
1445,George,Lehmann,376,11.9,1.6,4.5,41.8,36.5,84.1,47.1,12.8,18.6
1446,Walt,Lemon Jr.,11,9.4,2.6,3.2,43.7,50.0,71.4,45.1,14.7,0.0
1447,Voshon,Lenard,565,11.9,2.8,2.1,41.5,38.4,78.7,49.4,13.8,29.6
1448,Gary,Leonard,31,1.4,1.1,0.1,45.9,0.0,50.0,45.9,8.6,0.1
1449,Jim,Les,321,3.8,1.2,2.9,39.7,39.6,81.8,50.1,12.4,8.1
1450,Travis,Leslie,10,1.4,0.9,0.5,35.7,-,44.4,35.7,14.6,0.1
1451,Ronnie,Lester,250,7.3,1.9,4.0,46.9,22.7,78.8,47.0,13.0,6.3
1452,Clifford,Lett,11,3.5,0.6,0.7,43.2,0.0,66.7,43.2,3.4,-0.1
1453,Jon,Leuer,377,6.4,3.8,0.8,48.4,32.8,76.7,51.5,14.5,13.2
1454,Cliff,Levingston,830,7.1,5.2,0.9,51.6,15.2,67.6,51.6,13.8,44.2
1455,Cedric,Lewis,3,1.3,0.7,0.0,66.7,-,-,66.7,62.7,0.1
1456,Martin,Lewis,25,3.6,1.4,0.3,47.3,30.0,59.3,49.3,11.2,0.1
1457,Quincy,Lewis,159,3.6,1.3,0.6,39.7,33.3,71.0,42.9,6.7,0.8
1458,Ralph,Lewis,99,2.3,1.2,0.3,41.4,25.0,56.2,41.6,8.5,0.0
1459,Rashard,Lewis,99,2.3,1.2,0.3,41.4,25.0,56.2,41.6,8.5,0.0
1460,Reggie,Lewis,450,17.6,4.3,2.6,48.8,20.0,82.4,49.0,17.1,38.9
1461,Marcus,Liberty,267,7.3,3.5,0.9,41.7,34.0,66.4,43.5,12.2,4.0
1462,Todd,Lichti,237,7.9,2.1,1.4,46.0,24.4,78.9,46.6,12.2,5.6
1463,DeAndre,Liggins,177,2.0,1.4,0.7,40.2,35.2,54.9,46.9,7.3,1.6
1464,Jeremy,Lin,480,11.6,2.8,4.3,43.3,34.2,80.9,48.5,15.3,23.5
1465,Steve,Lingenfelter,10,1.0,1.6,0.5,71.4,-,0.0,71.4,3.1,0.0
1466,Alton,Lister,953,6.6,6.3,1.0,51.2,11.1,59.7,51.2,12.9,36.6
1467,Randy,Livingston,203,3.8,1.4,2.0,40.6,35.1,77.1,42.9,10.0,2.3
1468,Shaun,Livingston,833,6.3,2.4,3.0,48.6,17.8,79.4,48.8,12.5,29.9
1469,Horacio,Llamas,28,2.1,1.3,0.2,46.9,33.3,61.1,48.0,10.0,0.0
1470,Lewis,Lloyd,388,13.2,3.1,2.9,52.4,21.3,77.1,52.5,16.4,19.8
1471,Scott,Lloyd,372,4.6,3.0,1.0,42.5,28.6,71.8,42.6,8.5,2.5
1472,Robert,Lock,20,1.5,1.6,0.2,28.1,-,80.0,28.1,5.3,-0.2
1473,Darrell,Lockhart,2,2.0,1.5,0.0,100.0,-,-,100.0,1.6,0.0
1474,Ian,Lockhart,1,4.0,0.0,0.0,100.0,-,100.0,100.0,76.3,0.0
1475,Kevin,Loder,148,5.9,2.3,1.2,46.1,26.1,69.5,46.5,11.9,2.4
1476,Zach,Lofton,1,0.0,0.0,0.0,0.0,0.0,-,0.0,-10.0,0.0
1477,Brad,Lohaus,656,5.9,2.8,1.1,44.0,36.1,73.3,49.6,12.3,15.2
1478,Art,Long,98,3.5,3.3,0.5,45.8,66.7,48.5,46.1,9.7,0.9
1479,Grant,Long,1003,9.5,6.1,1.7,46.7,28.3,76.1,47.2,13.3,60.1
1480,John,Long,893,13.6,2.8,1.9,46.7,32.2,86.2,47.2,14.2,32.0
1481,Paul,Long,80,3.9,0.8,0.8,42.9,-,76.5,42.9,14.7,0.8
1482,Shawn,Long,18,8.2,4.7,0.7,56.0,36.8,54.3,59.2,24.1,0.9
1483,Luc,Longley,567,7.2,4.9,1.5,46.2,0.0,76.0,46.2,11.8,17.5
1484,Felipe,Lopez,249,5.8,2.4,1.0,43.2,32.7,65.9,45.1,11.5,3.1
1485,Raul,Lopez,113,6.5,1.7,3.8,42.9,34.6,85.3,46.4,12.2,2.1
1486,Ryan,Lorthridge,37,7.4,1.9,2.7,47.5,21.4,64.8,48.2,12.9,0.4
1487,Stan,Love,239,6.6,3.9,0.8,44.0,-,75.1,44.0,13.2,5.6
1488,Sidney,Lowe,193,2.9,1.7,3.9,36.7,13.3,76.4,37.0,10.4,3.9
1489,Jordan,Loyd,12,2.4,0.8,0.5,44.4,50.0,81.8,55.6,16.3,0.2
1490,John,Lucas III,928,10.7,2.3,7.0,44.9,30.3,77.6,46.3,15.9,53.7
1491,John,Lucas,928,10.7,2.3,7.0,44.9,30.3,77.6,46.3,15.9,53.7
1492,Kalin,Lucas,2,1.0,1.5,0.5,0.0,0.0,100.0,0.0,8.0,0.0
1493,Maurice,Lucas,1021,14.6,9.1,2.4,47.1,14.3,76.5,47.2,16.2,69.0
1494,Tyronn,Lue,554,8.5,1.7,3.1,43.7,39.1,82.9,49.4,13.2,19.7
1495,Tyler,Lydon,26,0.9,0.7,0.2,50.0,40.0,33.3,61.1,9.1,0.2
1496,George,Lynch,774,6.6,5.0,1.4,44.6,30.6,65.2,46.2,12.8,32.3
1497,Kevin,Lynch,95,3.3,1.3,1.1,43.6,33.3,72.6,44.1,7.7,0.4
1498,Todd,MacCulloch,223,6.1,4.0,0.5,54.1,-,64.2,54.1,16.9,11.9
1499,Scott,Machado,10,1.8,0.1,0.9,58.3,50.0,100.0,62.5,13.7,0.0
1500,Arvydas,Macijauskas,19,2.3,0.5,0.3,34.1,25.0,86.7,37.8,8.3,0.0
1501,Ollie,Mack,128,7.2,2.5,1.8,45.8,0.0,67.4,45.8,12.0,2.5
1502,Sam,Mack,259,7.8,2.1,1.3,40.0,37.4,83.1,49.3,12.2,7.4
1503,Shelvin,Mack,456,6.6,2.0,3.1,42.3,33.0,73.1,47.8,12.3,10.3
1504,Malcolm,Mackey,22,1.5,1.1,0.0,37.8,0.0,50.0,37.8,12.6,0.1
1505,Rudy,Macklin,160,6.4,2.9,0.8,44.9,0.0,77.6,44.9,10.0,3.2
1506,Vernon,Macklin,23,2.0,1.5,0.2,54.3,-,57.1,54.3,18.2,0.5
1507,Don,MacLean,319,10.9,3.8,1.3,45.5,28.4,76.5,46.5,15.1,9.4
1508,Mark,Macon,251,6.7,1.9,1.7,38.4,27.0,73.5,39.4,8.9,0.1
1509,Kyle,Macy,551,9.5,2.2,4.0,50.1,33.7,87.3,52.3,14.0,36.0
1510,Tito,Maddox,9,1.2,0.8,0.6,25.0,0.0,62.5,25.0,11.2,0.0
1511,Gerald,Madkins,48,1.7,0.5,1.4,36.6,37.5,76.2,45.1,8.7,0.3
1512,Mark,Madsen,453,2.2,2.6,0.4,45.7,6.3,52.7,45.7,8.1,8.2
1513,Corey,Maggette,827,16.0,4.9,2.1,45.3,32.4,82.2,47.9,17.9,62.2
1514,Dave,Magley,14,0.9,0.7,0.1,25.0,0.0,50.0,25.0,3.9,-0.1
1515,Jamaal,Magloire,680,7.2,6.5,0.6,48.0,0.0,63.9,48.0,13.5,27.7
1516,Rick,Mahorn,1117,6.9,6.2,1.0,49.3,13.2,70.4,49.3,11.6,51.7
1517,Dan,Majerle,955,11.4,4.5,2.9,43.1,35.8,74.1,50.5,13.8,78.5
1518,Renaldo,Major,1,5.0,2.0,0.0,20.0,-,50.0,20.0,-3.7,-0.1
1519,Jeff,Malone,905,19.0,2.6,2.4,48.4,26.8,87.1,48.7,15.2,54.2
1520,Karl,Malone,1476,25.0,10.1,3.6,51.6,27.4,74.2,51.8,23.9,234.6
1521,Moses,Malone,1455,20.3,12.3,1.3,49.5,9.6,76.0,49.5,22.0,179.1
1522,Matt,Maloney,295,7.4,1.7,2.9,40.8,37.2,79.7,51.2,10.6,9.5
1523,Steve,Malovic,39,2.1,2.2,0.7,46.3,-,66.7,46.3,7.2,0.3
1524,Danny,Manning,883,14.0,5.2,2.3,51.1,20.6,72.9,51.3,16.9,55.1
1525,Ed,Manning,604,5.9,4.5,0.8,44.8,12.5,76.4,44.8,10.8,14.6
1526,Richard,Manning,55,3.3,1.7,0.2,41.5,40.0,64.3,42.1,8.1,-0.3
1527,Pace,Mannion,216,3.1,1.2,1.1,41.3,20.3,66.3,42.5,9.4,1.7
1528,Pete,Maravich,658,24.2,4.2,5.4,44.1,66.7,82.0,44.1,18.4,46.7
1529,Peter,Maravich,658,24.2,4.2,5.4,44.1,66.7,82.0,44.1,18.4,46.7
1530,Devyn,Marble,44,2.2,1.6,0.7,30.4,22.2,37.5,35.7,5.5,-0.3
1531,Roy,Marble,29,1.9,1.1,0.4,25.7,0.0,59.4,25.7,4.0,-0.5
1532,Stephon,Marbury,846,19.3,3.0,7.6,43.3,32.5,78.4,47.0,18.7,77.5
1533,Sarunas,Marciulionis,363,12.8,2.3,2.2,50.5,36.9,76.8,52.6,16.7,20.0
1534,Shawn,Marion,1163,15.2,8.7,1.9,48.4,33.1,81.0,51.0,18.8,124.9
1535,Damir,Markota,30,1.7,1.0,0.2,36.5,37.5,63.6,42.3,5.0,-0.2
1536,Sean,Marks,230,2.8,2.2,0.2,44.8,20.0,66.5,45.2,9.1,2.6
1537,Donny,Marshall,957,11.2,6.7,1.4,43.5,35.0,73.1,48.3,16.8,59.0
1538,Donyell,Marshall,957,11.2,6.7,1.4,43.5,35.0,73.1,48.3,16.8,59.0
1539,Kendall,Marshall,160,5.0,1.6,4.9,39.9,37.0,61.1,48.0,10.7,1.0
1540,Rawle,Marshall,63,2.7,1.0,0.4,37.6,23.8,71.6,39.3,8.1,0.2
1541,Bill,Martin,84,4.7,1.6,0.7,44.9,0.0,81.3,44.9,10.4,0.3
1542,Bob,Martin,54,2.1,2.2,0.3,44.1,-,60.8,44.1,6.8,0.3
1543,Brian,Martin,8,0.8,0.5,0.0,42.9,-,0.0,42.9,-1.6,-0.1
1544,Caleb,Martin,243,5.1,1.9,0.5,39.2,37.2,72.9,49.1,10.1,3.7
1545,Cartier,Martin,243,5.1,1.9,0.5,39.2,37.2,72.9,49.1,10.1,3.7
1546,Cuonzo,Martin,7,1.3,0.4,0.4,25.0,60.0,0.0,37.5,4.2,-0.1
1547,Darrick,Martin,514,6.9,1.1,2.9,38.2,34.0,84.3,43.8,12.5,9.6
1548,Fernando,Martin,24,0.9,1.2,0.4,29.0,0.0,36.4,29.0,-0.9,-0.4
1549,Jarell,Martin,184,5.4,3.5,0.6,43.4,34.6,76.6,47.0,10.5,3.2
1550,Jeff,Martin,143,6.7,2.0,0.8,41.7,28.2,69.4,43.3,9.3,2.1
1551,Jeremiah,Martin,143,6.7,2.0,0.8,41.7,28.2,69.4,43.3,9.3,2.1
1552,Kelan,Martin,757,12.3,6.8,1.9,48.3,23.4,62.9,48.7,15.0,48.0
1553,Kenyon,Martin,757,12.3,6.8,1.9,48.3,23.4,62.9,48.7,15.0,48.0
1554,Kevin,Martin,757,12.3,6.8,1.9,48.3,23.4,62.9,48.7,15.0,48.0
1555,Jamal,Mashburn,611,19.1,5.4,4.0,41.8,34.5,76.6,45.6,15.7,43.7
1556,Roger,Mason Jr.,518,6.3,1.7,1.3,40.8,38.3,86.6,50.9,10.9,13.0
1557,Anthony,Mason,882,10.9,8.3,3.4,50.9,16.7,70.9,51.0,14.6,88.3
1558,Desmond,Mason,643,12.1,4.5,1.6,44.9,26.0,74.0,45.4,12.7,23.1
1559,Tony,Massenburg,683,6.2,4.3,0.4,47.0,9.1,70.5,47.0,11.9,15.6
1560,Yante,Maten,2,1.0,1.5,0.0,25.0,0.0,-,25.0,5.7,0.0
1561,Mangok,Mathiang,4,2.0,2.5,0.0,57.1,-,0.0,57.1,18.0,0.1
1562,Wes,Matthews,465,7.9,1.3,4.2,47.8,22.5,78.8,48.4,13.0,11.0
1563,Wesley,Matthews,465,7.9,1.3,4.2,47.8,22.5,78.8,48.4,13.0,11.0
1564,Marlon,Maxey,98,4.9,3.7,0.2,54.2,0.0,68.5,54.2,15.6,2.6
1565,Jason,Maxiell,618,5.6,4.2,0.4,49.5,0.0,56.4,49.5,13.0,20.3
1566,Cedric,Maxwell,835,12.5,6.3,2.2,54.6,5.3,78.4,54.6,16.4,78.5
1567,Vernon,Maxwell,855,12.8,2.6,3.4,39.8,32.0,73.3,46.2,12.7,27.4
1568,Scott,May,355,10.4,4.1,1.7,46.2,0.0,81.1,46.2,14.2,17.4
1569,Sean,May,119,6.9,4.0,1.0,45.8,23.1,74.6,46.0,14.9,2.6
1570,Lee,Mayberry,496,5.1,1.3,3.6,41.5,37.7,65.9,49.8,10.1,7.9
1571,Tharon,Mayes,24,4.1,0.7,1.5,30.3,36.6,66.7,37.9,6.4,-0.4
1572,Bill,Mayfield,7,2.4,1.3,0.1,44.4,-,50.0,44.4,6.8,0.0
1573,Eric,Maynor,267,4.3,1.3,2.8,39.2,35.0,72.1,44.2,10.6,3.3
1574,Travis,Mays,115,11.1,2.0,2.8,41.0,36.2,74.9,45.9,11.7,2.4
1575,DJ,Mbenga,234,1.8,1.5,0.2,47.0,0.0,60.7,47.0,10.8,2.4
1576,Bob,McAdoo,852,22.1,9.4,2.3,50.3,8.1,75.4,50.3,20.7,89.1
1577,James Michael,McAdoo,111,3.0,1.7,0.3,52.8,29.4,53.4,53.8,14.6,2.4
1578,Tahjere,McCall,1,4.0,1.0,0.0,66.7,0.0,0.0,66.7,9.6,0.0
1579,Ray,McCallum,154,6.0,2.0,2.4,40.8,33.5,71.1,44.7,11.0,2.1
1580,Bob,McCann,178,4.2,2.6,0.6,47.9,20.0,57.7,48.0,10.2,2.0
1581,Mel,McCants,13,1.7,0.5,0.2,30.8,-,75.0,30.8,5.1,0.0
1582,Rashad,McCants,249,10.0,2.0,1.3,43.1,36.8,74.1,49.9,12.9,3.6
1583,Andre,McCarter,103,3.8,0.9,1.7,43.1,25.0,72.5,43.4,10.4,1.1
1584,Kelly,McCarty,2,2.0,1.5,0.0,66.7,-,-,66.7,31.7,0.0
1585,Walter,McCarty,593,5.2,2.6,1.1,39.2,34.6,69.8,47.4,10.1,13.7
1586,Amal,McCaskill,114,1.8,1.9,0.3,37.7,0.0,60.9,37.7,7.7,0.5
1587,Dwayne,McClain,45,3.5,0.7,1.5,38.3,11.1,51.4,38.6,8.3,-0.3
1588,Ted,McClain,555,8.4,2.9,3.4,44.9,21.8,76.7,45.3,12.5,21.2
1589,Dan,McClintock,6,3.0,2.8,0.2,50.0,-,0.0,50.0,9.9,0.0
1590,George,McCloud,766,9.0,3.1,2.3,40.2,35.8,81.0,47.7,12.7,24.6
1591,Keith,McCord,2,2.0,1.0,0.5,50.0,-,-,50.0,7.9,0.0
1592,Tim,McCormick,483,8.3,4.9,1.0,53.5,6.3,70.3,53.5,12.8,21.5
1593,Jelani,McCoy,260,4.6,3.5,0.5,53.9,-,49.0,53.9,12.6,5.1
1594,Chris,McCray,5,0.0,0.0,0.0,0.0,-,-,0.0,-20.7,-0.1
1595,Rodney,McCray,768,11.7,6.6,3.6,50.3,26.0,76.1,50.7,14.4,56.0
1596,Scooter,McCray,77,2.9,2.5,1.0,42.3,-,61.1,42.3,8.3,0.4
1597,Erik,McCree,4,0.0,0.3,0.0,0.0,0.0,-,0.0,-8.9,-0.1
1598,Chris,McCullough,59,3.3,1.9,0.3,42.6,30.6,54.8,46.7,13.2,0.6
1599,John,McCullough,8,2.6,0.5,0.4,69.2,-,60.0,69.2,30.7,0.1
1600,Clint,McDaniel,12,2.5,0.8,0.6,34.8,33.3,75.0,39.1,15.6,0.2
1601,Xavier,McDaniel,870,15.6,6.1,2.0,48.5,26.1,71.8,48.9,16.1,47.8
1602,Jim,McDaniels,271,10.0,6.5,1.1,46.6,-,72.0,46.6,16.8,9.1
1603,KJ,McDaniels,148,5.3,2.2,0.6,41.2,29.0,77.6,46.4,10.8,1.3
1604,Ben,McDonald,176,6.0,3.2,1.3,46.8,22.7,72.7,47.3,8.3,2.5
1605,Michael,McDonald,1,0.0,1.0,0.0,-,-,-,-,-22.1,-0.1
