fname,lname,school,debut_x,wt_x,ht(inches),b_city_x,b_state_x,g,pts,trb,ast,fgp,fg3p,ftp,efgp,per,ws
Ed,Stokes,Arizona,1997,264,,Syracuse,New York,4,0.8,1,0.3,33.3,-,50,33.3,6.4,0
Jason,Terry,Arizona,1999,185,74,Seattle,Washington,1410,13.4,2.3,3.8,44.4,38,84.5,51.7,16.2,102
Mike,Bibby,Arizona,1999,190,73,Cherry Hill,New Jersey,1001,14.7,3.1,5.5,43.6,37.9,80.2,49.7,16.1,73.2
Michael,Dickerson,Arizona,1999,190,77,Greenville,South Carolina,212,15.4,2.9,2.6,43.2,40.2,78.4,48.3,13.4,9.6
Miles,Simon,Arizona,1999,202,75,Stockholm,Sweden,5,0.4,0.4,0,20,0,-,20,-7.2,-0.1
Gilbert,Arenas,Arizona,2001,191,75,Tampa,Florida,552,20.7,3.9,5.3,42.1,35.1,80.3,48.2,19.6,51.3
Richard,Jefferson,Arizona,2001,233,79,Los Angeles,California,1181,12.6,4,2,46.4,37.6,76.8,51.1,14.4,83
Loren,Woods,Arizona,2001,245,85,St. Louis,Missouri,215,2.6,3.2,0.3,41.9,14.3,64.2,42,11.2,3.1
Luke,Walton,Arizona,2003,235,80,San Diego,California,564,4.7,2.8,2.3,42.9,32.6,71.5,46.6,11.7,13.5
Salim,Stoudamire,Arizona,2005,179,73,Portland,Oregon,157,8,1.4,1,40.7,36.6,88.2,48.3,11.8,2.2
Channing,Frye,Arizona,2005,255,,White Plas,New York,890,8.7,4.5,1,44,38.8,82.2,51.9,13.3,38.9
Hassan,Adams,Arizona,2006,220,76,Inglewood,California,73,2.5,1.2,0.2,53.4,0,64.3,53.4,11.8,0.8
Jerryd,Bayless,Arizona,2008,200,75,Phoenix,Arizona,586,8.4,2.1,2.9,41.1,36.1,81.8,47.1,12.2,18.6
Chase,Budinger,Arizona,2009,209,79,Encitas,California,407,7.9,3,1.2,43,35.2,79.7,50.4,13,13.9
Jordan,Hill,Arizona,2009,235,82,Atlanta,Georgia,409,7.9,5.8,0.8,49.7,13.6,69.9,49.7,16.3,16.4
Mustafa,Shakur,Arizona,2011,190,75,Philadelphia,Pennsylvania,25,2.1,0.9,1.2,33.9,9.1,52.9,34.7,5.8,-0.5
Nick,Johnson,Arizona,2014,202,75,Tempe,Arizona,28,2.6,1.4,0.4,34.7,23.8,68,38,4.8,-0.1
Grant,Jerrett,Arizona,2014,235,82,Costa Mesa,California,8,2,1.1,0.4,26.9,6.7,100,28.8,1.5,-0.1
Rawle,Alkins,Arizona,2018,225,77,Brooklyn,New York,10,3.7,2.6,1.3,33.3,25,66.7,37.2,8.1,-0.1
Ron,Brewer,Arkansas,1978,180,76,Fort Smith,Arkansas,501,11.9,1.9,1.8,45.9,24.8,82.4,46.2,13,17.3
Sidney,Moncrief,Arkansas,1979,180,75,Little Rock,Arkansas,767,15.6,4.7,3.6,50.2,28.4,83.1,50.9,18.7,90.3
Scott,Hastings,Arkansas,1982,235,82,Independence,Kansas,578,2.8,2.2,0.5,44.1,29.2,81.1,45.2,9.2,9.8
Darrell,Walker,Arkansas,1983,180,76,Chicago,Illinois,720,8.9,4.4,4.6,43.5,5.9,71.3,43.5,13.7,27.4
Alvin,Robertson,Arkansas,1984,185,75,Barberton,Ohio,779,14,5.2,5,47.7,29.5,74.3,49,17,52.1
Tony,Brown,Arkansas,1984,185,78,Chicago,Illinois,360,6,2.1,1.6,43.7,25.9,71.9,44.6,9.9,4.9
Joe,Kleine,Arkansas,1985,255,83,Colorado Sprgs,Colorado,965,4.8,4.1,0.6,45.3,27.1,79.4,45.4,10.5,19.1
Andrew,Lang,Arkansas,1988,245,83,Pe Bluff,Arkansas,737,6,4.8,0.6,47,25,74.4,47.1,11.7,28.6
Lee,Mayberry,Arkansas,1992,172,73,Tulsa,Oklahoma,496,5.1,1.3,3.6,41.5,37.7,65.9,49.8,10.1,7.9
Todd,Day,Arkansas,1992,188,78,Decatur,Illinois,483,12.3,3.4,1.5,40.6,34.5,73.9,46.2,14.1,17.5
Isaiah,Morris,Arkansas,1992,229,80,Richmond,Virginia,25,2.2,0.5,0.2,45.6,-,75,45.6,10.6,0
Oliver,Miller,Arkansas,1992,280,81,Fort Worth,Texas,493,7.4,5.9,2.2,53.4,11.6,63.9,53.5,15.2,21.1
Corey,Beck,Arkansas,1995,190,73,Memphis,Tennessee,88,2.7,1.4,1.4,45.1,60,68.4,45.9,9.1,0.5
Clint,McDaniel,Arkansas,1996,180,76,Tulsa,Oklahoma,12,2.5,0.8,0.6,34.8,33.3,75,39.1,15.6,0.2
Derek,Hood,Arkansas,1999,222,80,Kansas City,Missouri,2,0,0.5,0,0,-,-,0,-24.2,-0.1
Jannero,Pargo,Arkansas,2002,175,73,Chicago,Illinois,499,6.4,1.4,2,39.1,35.6,86.4,45.5,11.8,4.9
