fname,lname,school,debut_x,wt_x,ht(inches),b_city_x,b_state_x,g,pts,trb,ast,fgp,fg3p,ftp,efgp,per,ws
Melvin,Booker,Missouri,1996,185,73,Pascagoula,Mississippi,32,5.2,1.2,2.3,40,26.8,87.1,44.8,8.2,-0.1
Derek,Grimm,Missouri,1997,230,81,Peoria,Illinois,9,1.6,0.4,0,28.6,33.3,100,42.9,7.9,0
Keyon,Dooling,Missouri,2000,196,75,Ft. Lauderdale,Florida,728,7,1.3,2.2,41.6,34.9,79.9,46.7,11.5,18.5
Kareem,Rush,Missouri,2002,215,78,Kansas City,Missouri,346,6.4,1.7,1,40,35.8,70.3,46.6,9.2,1.7
Linas,Kleiza,Missouri,2005,245,80,Kaunas,Lithuania,409,8.7,3.6,0.8,43.5,33.5,76.3,50.2,12.4,13.6
Thomas,Gardner,Missouri,2007,225,77,Portland,Oregon,20,2.3,0.6,0.2,30.5,20,33.3,36.4,2.4,-0.4
Kim,English,Missouri,2012,200,78,Baltimore,Maryland,41,2.9,0.9,0.6,37.5,28,72.4,43.8,7.9,0.2
Phil,Pressey,Missouri,2013,175,71,Dallas,Texas,148,3.2,1.5,2.9,34.1,25.4,63,38.8,9.9,0.8
Jabari,Brown,Missouri,2015,215,76,Oakland,California,19,11.9,1.9,2.1,41.2,37.1,75.3,47.9,11,0.4
Tony,Dumas,Missouri-Kansas City,1994,190,78,Chicago,Illinois,156,7.3,1.3,1.2,40.4,32.7,60.8,45.4,12,1.3
Jaylen,Morris,Molloy,2018,185,77,Amherst,New York,10,3.8,2.1,1.1,40.5,23.1,50,44,7.8,-0.1
Alex,Blackwell,Monmouth University,1992,250,78,Toms River,New Jersey,27,1.3,0.9,0.3,33.3,0,75,33.3,8.2,0
Micheal Ray,Richardson,Montana,1978,189,77,Lubbock,Texas,556,14.8,5.5,7,45.7,22,69,46.5,16.9,35.2
Larry,Krystkowiak,Montana,1986,220,81,Missoula,Montana,420,8.2,4.9,1.2,45.7,13.9,79.5,45.8,12,15.6
John,Stroeder,Montana,1987,260,82,Bremerton,Washington,46,1.8,1.8,0.5,36.9,0,66.7,36.9,7.4,-0.1
Will,Cherry,Montana,2014,185,,Oakland,California,8,1.9,0.6,1,26.3,22.2,50,31.6,5.8,0
Henry,Akin,Morehead State University,1968,225,82,Detroit,Michigan,88,3.5,2.1,0.5,35,0,67.6,35,7.4,-1.2
Lamar,Green,Morehead State University,1974,210,79,Birmgham,Alabama,411,5.2,6.2,0.8,43,-,66,43,10.6,7.4
Bob,McCann,Morehead State University,1990,244,78,Morristown,New Jersey,178,4.2,2.6,0.6,47.9,20,57.7,48,10.2,2
Kenneth,Faried,Morehead State University,2011,220,80,Newark,New Jersey,478,11.4,8.1,1,54.6,22.2,65.4,54.8,19.7,38.8
Harold,Ellis,Morehouse College,1994,200,77,Atlanta,Georgia,145,5.8,2,0.6,52.7,4.8,65.3,52.8,16.4,4.6
Martell,Webster,Morgan State University,1976,225,85,Baltimore,Maryland,617,7,6.8,1.2,48.8,28.6,62.1,48.8,13.8,29.4
Lloyd,Daniels,Mount San Antonio College,1992,205,79,Brooklyn,New York,200,7.1,2.2,1.6,40.3,31.6,74.3,45.8,11.5,3.3
Stanley,Johnson,Murray State,1967,220,80,Clairton,Pennsylvania,647,16.3,6.6,1.5,42.3,30.8,78.8,43.5,15,11.8
Jeff,Martin,Murray State,1989,195,77,Cherry Valley,Arkansas,143,6.7,2,0.8,41.7,28.2,69.4,43.3,9.3,2.1
Popeye,Jones,Murray State,1993,250,80,Dresden,Tennessee,535,7,7.4,1.3,44.7,28.1,75.1,45,13.3,22
Marcus,Brown,Murray State,1996,185,75,West Memphis,Arkansas,27,3.4,0.8,0.9,38.1,33.3,71.4,45.8,10.5,0.3
James,Singleton,Murray State,2005,216,80,Chicago,Illinois,243,3.9,3.7,0.4,46.2,29.2,83.3,48.5,14,8.1
Isaiah,Canaan,Murray State,2013,201,,Biloxi,Mississippi,235,8.1,1.9,1.9,37.1,35.1,83.6,48.1,10.7,4.3
Cameron,Payne,Murray State,2015,190,75,Memphis,Tennessee,153,6,1.8,2.5,39.7,33.1,77.5,46.5,11.4,2.2
Tom,Burleson,NC State,1974,225,86,Crossnore,North Carolina,446,9.4,6.3,1.3,44.5,0,72.6,44.5,16.1,22.9
Monte,Towe,NC State,1975,150,67,Marion,Indiana,115,2.8,0.8,1.9,40.4,21.4,78.3,41.8,9.6,0.2
David,Thompson,NC State,1975,195,76,Shelby,North Carolina,592,22.7,4.1,3.3,50.5,25.5,78.1,50.7,19.9,63.3
Kenny,Carr,NC State,1977,220,79,Washgton,District of Columbia,674,11.6,7.4,1.4,51,7.9,68.4,51,14.7,33.6
Sidney,Lowe,NC State,1983,195,,Washgton,District of Columbia,193,2.9,1.7,3.9,36.7,13.3,76.4,37,10.4,3.9
Thurl,Bailey,NC State,1983,215,83,Washgton,District of Columbia,928,12.8,5.1,1.4,47.3,11.4,81.2,47.3,14.3,45
Chuck,Nevitt,NC State,1983,217,89,Cortez,Colorado,155,1.6,1.5,0.1,43.8,-,58.9,43.8,9.1,0.5
Spud,Webb,NC State,1985,133,66,Dallas,Texas,814,9.9,2.1,5.3,45.2,31.4,84.8,47.7,15.1,40.2
Lorenzo,Charles,NC State,1985,225,79,Brooklyn,New York,36,3.4,1.1,0.2,55.7,-,66.7,55.7,11.5,0.5
Nate,McMillan,NC State,1986,195,77,Raleigh,North Carolina,796,5.9,4,6.1,44.3,34.3,65,47.9,14.5,50.2
Chris,Washburn,NC State,1986,225,83,Hickory,North Carolina,72,3.1,2.4,0.3,41.2,0,43.9,41.2,7.6,-0.6
Cozell,McQueen,NC State,1987,235,83,Paris,France,3,2,2.7,0,100,-,-,100,58.3,0.1
Charles,Shackleford,NC State,1988,225,82,Kston,North Carolina,303,5.4,4.8,0.6,48.3,0,65.4,48.3,13.1,7.3
Chucky,Brown,NC State,1989,214,79,New York,New York,694,5.9,3.1,0.8,49.1,22.7,69.9,49.4,11.6,19
Rodney,Monroe,NC State,1991,185,75,Baltimore,Maryland,38,3.4,0.9,0.7,36.8,22.2,82.6,38.9,8.8,-0.2
Chris,Corchiani,NC State,1992,185,,Coral Gables,Florida,112,3.7,1.2,2.2,42.1,26.9,81.6,45.5,11.7,1.6
Brian,Howard,NC State,1992,204,78,Wston-Salem,North Carolina,95,6,2.8,0.9,45.8,22.2,75.2,45.9,10.3,0.9
Tom,Gugliotta,NC State,1992,240,82,Huntgton Station,New York,763,13,7.3,2.8,45.1,28.4,75.7,46.3,15.9,40.2
Kevin,Thompson,NC State,1993,260,83,Wston-Salem,North Carolina,14,0.9,0.9,0.2,42.9,0,50,42.9,4.9,0
Julius,Hodge,NC State,2005,210,79,New York,New York,23,1.2,0.7,0.8,44,-,50,44,10.7,0
Josh,Powell,NC State,2005,225,81,Charleston,South Carolina,316,3.9,2.9,0.5,43.8,35,74.3,44.1,9.2,2.5
Anthony,Grundy,NC State,2006,180,75,Louisville,Kentucky,12,4.3,1.4,0.8,50,33.3,64.3,56.6,16.6,0.2
Cedric,Simmons,NC State,2006,235,81,Shallotte,North Carolina,75,2.2,1.9,0.2,40.9,-,39,40.9,7.3,0.1
JJ,Hickson,NC State,2008,242,81,Atlanta,Georgia,534,9.5,6.8,0.8,50.5,0,61.7,50.5,16.1,21.9
Dennis,Horner,NC State,2011,230,81,Lwood,New Jersey,8,0.6,0.6,0,25,0,75,25,6.6,0
Lorenzo,Brown,NC State,2013,189,77,Roswell,Georgia,103,2.8,1.5,1.8,36.4,17,70.7,39.1,9,-0.2
Henry,Turner,Nebraska,1967,195,74,</span,],41,3.2,1.8,1.1,32.1,23.1,48.9,34,2.2,-0.6
Dave,Hoppen,Nebraska,1988,235,83,Omaha,Nebraska,169,5,3.8,0.6,51.8,20,75.1,51.9,11.3,3.6
Eric,Johnson,Nebraska,1989,205,74,Brooklyn,New York,48,1.1,0.6,1.3,23.8,16.7,76.5,24.4,4.6,-0.4
Rich,King,Nebraska,1991,260,86,Lcoln,Nebraska,72,1.9,1,0.3,39.3,0,66.2,39.3,10.2,0.2
Eric,Piatkowski,Nebraska,1994,215,79,Steubenville,Ohio,789,7.5,2.2,1,43.4,39.9,83.9,52.6,14,31
Erick,Strickland,Nebraska,1996,210,75,Opelika,Alabama,501,7.5,2.6,2.4,39.2,35.1,82.6,45.1,12.7,13.4
Tony,Farmer,Nebraska,1997,244,81,Los Angeles,California,101,5.3,3.2,0.8,39.5,18.9,77,40.8,15.5,3.2
Tyronn,Lue,Nebraska,1999,175,,Mexico,Missouri,554,8.5,1.7,3.1,43.7,39.1,82.9,49.4,13.2,19.7
Mikki,Moore,Nebraska,1999,225,83,Orangeburg,South Carolina,564,5.8,3.9,0.7,55.1,15.4,74.3,55.1,12.5,22.5
Johnny,High,Nevada,1979,185,75,Birmgham,Alabama,274,5.1,2.3,1.9,43.5,10.5,61.9,43.7,9.4,4.7
Eddie,Jones,Nevada,1980,225,82,Fort Rucker,Alabama,363,9,4.8,0.9,50.6,26.2,71,51,15.1,15
David,Wood,Nevada,1988,227,81,Spokane,Washington,412,3.9,2.4,0.7,44.9,33.8,78.5,49.3,10,10.2
Kirk,Snyder,Nevada,2004,225,78,Los Angeles,California,211,6.3,2.3,1.1,43.8,32.7,69.9,47.9,12.4,4.5
Nick,Fazekas,Nevada,2007,235,83,Denver,Colorado,26,4.1,3.4,0.4,56.1,0,68.2,56.1,19.6,0.8
Kevinn,Pinkney,Nevada,2007,245,82,Colton,California,6,5.2,2.5,0.8,44.4,50,66.7,46.3,11.6,0.2
Ramon,Sessions,Nevada,2008,190,75,Myrtle Beach,South Carolina,691,10.3,2.7,4.1,43.4,31.6,79.1,45.3,15.9,28.8
Luke,Babbitt,Nevada,2010,225,81,Ccnati,Ohio,381,4.8,2.2,0.6,40.8,40.2,74.7,53.2,10.1,7.2
Sam,Lacey,New Mexico State,1970,235,82,Indianola,Mississippi,1002,10.3,9.7,3.7,44.1,18.8,73.8,44.1,14.2,50.9
John,Williams,New Mexico State,1973,185,74,New Haven,Connecticut,516,17.5,2.5,2.8,45.8,23.4,82.6,45.9,14.4,23.6
John,Williamson,New Mexico State,1973,185,74,New Haven,Connecticut,516,17.5,2.5,2.8,45.8,23.4,82.6,45.9,14.4,23.6
Charlie,Criss,New Mexico State,1977,165,68,Valhalla,New York,418,8.5,1.4,3.2,43.2,17.9,83.1,43.5,12.8,13.7
Steve,Colter,New Mexico State,1984,165,75,Phoenix,Arizona,526,6.3,2,2.8,44.8,28.9,77.8,46.1,12.9,17.3
Reggie,Jordan,New Mexico State,1994,195,76,Chicago,Illinois,186,2.7,1.8,1,43.3,33.3,58.5,43.6,14.1,3
Sim,Bhullar,New Mexico State,2015,360,89,Ontario,Canada,3,0.7,0.3,0.3,50,-,-,50,44.3,0
Jonathan,Gibson,New Mexico State,2016,185,74,West Cova,California,21,6.7,1.2,1.4,41.5,36.8,72.4,50.4,11.8,0
Zach,Lofton,New Mexico State,2018,180,76,St. Paul,Minnesota,1,0,0,0,0,0,-,0,-10,0
Jemerrio,Jones,New Mexico State,2019,174,77,Nashville,Tennessee,6,4.5,8.2,2.2,36.4,20,50,39.4,12.1,0.2
Mel,Daniels,New Mexico,1967,220,81,Detroit,Michigan,639,18.4,14.9,1.8,46.8,8.8,65.7,46.8,20.1,64.8
Michael,Cooper,New Mexico,1978,170,77,Los Angeles,California,873,8.9,3.2,4.2,46.9,34,83.3,50.2,12.8,52.5
Jerome,Henderson,New Mexico,1986,230,83,Los Angeles,California,7,2.3,1.1,0,37.5,-,100,37.5,0.7,-0.1
Luc,Longley,New Mexico,1991,265,86,Melbourne,Australia,567,7.2,4.9,1.5,46.2,0,76,46.2,11.8,17.5
Kenny,Thomas,New Mexico,1999,261,79,Atlanta,Georgia,632,9.3,6.9,1.5,46.5,24.4,69.9,47.1,13.9,31.2
Danny,Granger,New Mexico,2005,222,81,New Orleans,Louisiana,586,16.8,4.9,1.9,43.4,38,84.8,50,16.9,48.5
Darington,Hobson,New Mexico,2012,210,79,Las Vegas,Nevada,5,0.8,0.6,1.2,15.4,0,-,15.4,-3.3,-0.2
Drew,Gordon,New Mexico,2014,245,81,San Jose,California,9,1.9,2,0.2,42.1,0,50,42.1,3.7,-0.1
Alex,Kirk,New Mexico,2014,245,,Los Alamos,New Mexico,5,0.8,0.2,0.2,25,-,100,25,8.5,0
Cameron,Bairstow,New Mexico,2014,250,81,Brisbane,Australia,36,1.2,1,0.2,29.6,20,84.6,30.6,5,-0.1
Wayne,Cooper,New Orleans,1978,220,82,Milan,Georgia,984,7.9,6.2,0.9,45.7,14.6,73.6,45.7,13.4,36.9
Ronnie,Grandison,New Orleans,1988,215,78,Los Angeles,California,105,2.4,1.6,0.6,40.4,16.7,71.3,41.3,9.8,1.2
Ledell,Eackles,New Orleans,1988,220,77,Baton Rouge,Louisiana,441,10.8,2.2,1.7,44.5,33.6,76.7,46.1,13.8,10.8
Tobias,Harris,New Orleans,1991,190,75,Monroe,Louisiana,14,4.9,0.8,0.6,29.1,25,86.8,31.8,9.7,0
Michael,McDonald,New Orleans,1998,232,82,Longview,Texas,1,0,1,0,-,-,-,-,-22.1,-0.1
Calvin,Murphy,Niagara University,1970,165,69,Norwalk,Connecticut,1002,17.9,2.1,4.4,48.2,13.9,89.2,48.3,18,84.1
Joe,Arlauckas,Niagara University,1987,230,81,Rochester,New York,9,3.8,1.4,0.9,32.6,-,75,32.6,7.9,-0.1
Bob,Dandridge,Norfolk State,1969,195,78,Richmond,Virginia,839,18.5,6.8,3.4,48.4,16.7,78,48.4,16.7,80.3
David,Pope,Norfolk State,1984,220,79,Newport News,Virginia,33,1.9,0.9,0.3,35.6,50,52.9,36.3,4.7,-0.1
Joe,Binion,North Carolina A&amp;T,1987,235,80,Rochester,New York,11,1.3,1.6,0.1,40,-,60,40,12,0.1
Mike,Harper,North Park University,1980,195,82,Chicago,Illinois,123,5,3.5,0.6,47.4,0,55.9,47.4,11.3,2.4
Qyntel,Woods,Northeast Mississippi Community College,2002,221,80,Memphis,Tennessee,167,4.1,2.3,0.6,45.2,35.7,60.3,48.1,11.1,1.4
Richard,Dumas,Northeastern State University,1968,170,75,"<a href=""/friv/birthplaces.fcgi?country=US&amp;state=""",United States,1,2,1,0,20,-,-,20,-19.4,-0.1
Perry,Moss,Northeastern University,1985,185,74,Tucson,Arizona,136,3.9,1.5,1.5,41.5,17.4,72.2,42.3,9.2,0.9
Reggie,Lewis,Northeastern University,1987,195,79,Baltimore,Maryland,450,17.6,4.3,2.6,48.8,20,82.4,49,17.1,38.9
Andre,Spencer,Northern Arizona University,1992,210,78,Stockton,California,48,7.2,3.2,1,44.5,0,73.3,44.5,14.1,1.4
Dan,McClintock,Northern Arizona University,2001,270,,Founta Valley,California,6,3,2.8,0.2,50,-,0,50,9.9,0
Paul,Dawkins,Northern Illinois,1979,190,77,Sagaw,Michigan,57,5.5,2.2,1.4,47,20,68.8,47.2,11,-0.1
Donald,Whiteside,Northern Illinois,1996,160,70,Chicago,Illinois,30,2,0.4,1.2,33.3,32.4,64.7,43.9,7.2,0.1
Xavier,Silas,Northern Illinois,2012,205,77,San Antonio,Texas,4,2.8,1.5,0.8,22.2,12.5,66.7,25,-0.7,-0.1
Gaylon,Nickerson,Northwestern Oklahoma State University,1996,190,75,Osecola,Arkansas,4,3.8,1.3,0.3,33.3,0,100,33.3,12.9,0.1
Trey,Gilder,Northwestern State University,2009,185,81,Dallas,Texas,2,1,0.5,0,100,-,-,100,30.9,0
Jim,Burns,Northwestern,1967,195,75,</span,],36,4.4,1.7,0.7,37.5,0,57.3,37.5,6.4,0
Don,Adams,Northwestern,1975,210,78,Atlanta,Georgia,523,8.8,5.6,1.9,40.2,0,74.1,40.2,10.7,11.7
Billy,McKinney,Northwestern,1978,160,,Waukegan,Illinois,476,8,1.4,3.5,49.3,6.3,82,49.3,13.7,15.6
Evan,Eschmeyer,Northwestern,2000,255,83,New Knoxville,Ohio,153,2.8,3.9,0.5,46.3,-,62.1,46.3,10.6,4
Reggie,Hearn,Northwestern,2018,210,77,Fort Wayne,Indiana,3,1,0,0,50,50,-,75,13.1,0
Jay,Miller,Notre Dame,1968,205,77,St. Louis,Missouri,117,5.5,1.8,0.4,41.5,0,71.7,41.5,11.9,1.4
Bob,Arnzen,Notre Dame,1969,205,77,Covgton,Kentucky,111,4,2,0.3,46.5,20,80,46.6,13.6,1.4
Austin,Carr,Notre Dame,1971,200,76,Washgton,District of Columbia,682,15.4,2.9,2.8,44.9,15.4,80.4,44.9,15,32.9
John,Shumate,Notre Dame,1975,235,81,Greenville,South Carolina,318,12.3,7.5,1.8,51.6,0,72,51.6,15.9,24.5
Adrian,Dantley,Notre Dame,1976,208,77,Washgton,District of Columbia,955,24.3,5.7,3,54,17.1,81.8,54,21.5,134.2
Toby,Knight,Notre Dame,1977,210,81,Bronx,New York,283,12.9,5.1,1.2,51.9,0,74,51.9,15.1,15.7
Bill,Hanzlik,Notre Dame,1980,185,79,Middletown,Ohio,748,7.2,2.8,2.8,43.4,21.3,78.1,43.9,11.2,24.7
Bill,Laimbeer,Notre Dame,1980,245,83,Boston,Massachusetts,1068,12.9,9.7,2,49.8,32.6,83.7,50.7,16.1,105.6
Tracy,Jackson,Notre Dame,1981,205,78,Rockville,Maryland,129,5.4,1.9,1,46.3,15.4,74.9,46.5,11.8,2.4
Orlando,Woolridge,Notre Dame,1981,215,81,Bernice,Louisiana,851,16,4.3,1.9,51.3,9.1,73.7,51.4,16.6,53
Kelly,Tripucka,Notre Dame,1981,220,78,Glen Ridge,New Jersey,707,17.2,3.8,3,47.3,36.1,84.9,48.2,16.2,44.4
Bruce,Flowers,Notre Dame,1982,225,80,Rochester,New York,53,4.9,3.4,0.9,53.4,0,77.4,53.4,15.2,1.7
Dave,Batton,Notre Dame,1982,240,82,Baltimore,Maryland,58,3.2,2.1,0.6,44.8,0,47.1,44.8,10.2,0.7
John,Paxson,Notre Dame,1983,185,74,Dayton,Ohio,772,7.2,1.2,3.6,49.9,35.5,80.4,52.8,12,36.3
Tom,Sluby,Notre Dame,1984,200,76,Washgton,District of Columbia,31,2.4,0.4,0.5,51.7,0,61.9,51.7,12.2,0.2
Tim,Kempton,Notre Dame,1986,245,82,Jamaica,New York,280,4.5,2.8,1.1,48.1,0,67.7,48.1,9.8,3.3
David,Rivers,Notre Dame,1988,170,,Jersey City,New Jersey,114,3.4,1.3,2.5,39.8,8.3,79.4,40,9.7,-0.3
Donald,Royal,Notre Dame,1989,210,80,New Orleans,Louisiana,504,6.3,2.8,1,47.3,0,77,47.3,12.8,19.1
Gary,Voce,Notre Dame,1989,240,81,"<a href=""/friv/birthplaces.fcgi?country=JM&amp;state=""",Jamaica,1,2,2,0,33.3,-,-,33.3,19.2,0
LaPhonso,Ellis,Notre Dame,1992,240,80,East St. Louis,Illinois,624,11.9,6.5,1.6,45.2,30.2,73,47.1,14.6,32.8
Keith,Tower,Notre Dame,1993,250,83,Libby,Montana,53,1.8,1.3,0.1,42.9,0,55.6,42.9,5.9,0
Mo,Williams,Notre Dame,1994,225,80,Fredericksburg,Virginia,456,6.3,2.8,1.2,48.1,11.1,66.5,48.2,12.8,11.4
Elmer,Bennett,Notre Dame,1995,170,,Evanston,Illinois,21,2.3,0.5,1,34,27.3,72.2,37.2,6.2,-0.3
Pat,Garrity,Notre Dame,1999,238,81,Las Vegas,Nevada,552,7.3,2.6,0.8,41.7,39.8,80.6,50.6,10.7,18.7
Troy,Murphy,Notre Dame,2001,245,83,Morristown,New Jersey,729,10.8,7.8,1.5,44.5,38.8,78.5,49.3,15.4,50.3
Ryan,Humphrey,Notre Dame,2002,235,80,Tulsa,Oklahoma,85,2.3,2.2,0.2,34.4,0,53.9,34.4,6.6,-0.4
Matt,Carroll,Notre Dame,2003,212,78,Pittsburgh,Pennsylvania,459,6.6,1.9,0.7,41.3,38.4,84.1,48.2,11.6,10.7
Chris,Quinn,Notre Dame,2006,185,74,New Orleans,Louisiana,241,4.5,1.1,1.9,39.9,37.7,80.9,48.3,12.2,5.3
Rob,Kurz,Notre Dame,2008,232,81,Philadelphia,Pennsylvania,40,3.9,2,0.5,38.9,39.5,80,44.7,11.8,0.7
Luke,Harangody,Notre Dame,2010,246,80,Decatur,Illinois,70,3.6,2.8,0.5,37.6,24.1,73.7,41.5,10.2,0.9
Ben,Hansbrough,Notre Dame,2012,203,75,Poplar Bluff,Missouri,28,2,0.6,0.8,33.3,26.1,77.8,40,7.2,0.2
Luke,Zeller,Notre Dame,2012,245,83,Ames,Iowa,16,1.2,0.6,0.2,34.6,20,-,36.5,5.6,-0.1
Jack,Cooley,Notre Dame,2015,260,81,Evanston,Illinois,23,2.9,2.4,0.3,44.9,-,57.5,44.9,15.6,0.5
Demetrius,Jackson,Notre Dame,2016,201,73,South Bend,Indiana,26,1.8,0.7,0.7,48.6,28.6,66.7,54.1,13,0.2
Bonzie,Colson,Notre Dame,2019,224,78,Washgton,District of Columbia,8,4.9,3.8,0.4,33.3,23.8,88.9,39.7,12.9,0.2
Barry,Kramer,NYU,1969,200,76,Schenectady,New York,59,3.6,1.9,0.7,33.6,0,72.8,33.6,9.3,0.1
Rawle,Marshall,Oakland,2005,190,81,Georgetown,Guyana,63,2.7,1,0.4,37.6,23.8,71.6,39.3,8.1,0.2
Kay,Felder,Oakland,2016,176,69,Detroit,Michigan,58,3.8,1,1.3,36.4,26.8,75.4,38.8,9.3,-0.4
Mel,Nowell,Ohio State,1967,170,74,</span,],115,8.4,2.3,2.1,39.8,28.1,80.3,40.3,11.6,2.6
Gary,Bradds,Ohio State,1967,210,80,Jamestown,Ohio,254,12.2,5.5,0.9,47.5,5.6,79.8,47.5,18.8,15.8
Joe,Roberts,Ohio State,1968,214,78,</span,],218,5.8,4.9,0.6,38.1,33.3,63.7,38.1,9.6,2.4
Jim,Cleamons,Ohio State,1971,185,75,Lcolnton,North Carolina,652,8.3,3,3.9,46,22.6,76.5,46.1,12.6,29.1
Kelvin,Ransey,Ohio State,1980,170,73,Toledo,Ohio,474,11.4,1.9,5.2,45.4,13.2,78.2,45.6,14.8,17.9
Jim,Smith,Ohio State,1981,225,81,Cleveland,Ohio,76,2.9,2.5,0.6,51.4,-,46.1,51.4,9.3,0.7
Herb,Williams,Ohio State,1981,242,82,Columbus,Ohio,1102,10.8,5.9,1.7,46.7,9.5,69.6,46.8,13.6,36.1
Clark,Kellogg,Ohio State,1982,225,79,Cleveland,Ohio,260,18.9,9.5,2.9,49.7,33.8,75.7,50,19.3,20.9
Granville,Waiters,Ohio State,1983,225,83,Columbus,Ohio,249,2.4,2.2,0.5,45.8,0,55.9,45.8,8.3,1.9
Tony,Campbell,Ohio State,1984,215,79,Teaneck,New Jersey,690,11.6,3.1,1.5,45.6,25.4,79,46,14.5,20.7
Brad,Sellers,Ohio State,1986,210,,Warrensville Heights,Ohio,398,6.3,2.7,1.1,45.2,20,79.3,45.4,11.1,9.8
Dennis,Hopson,Ohio State,1987,200,77,Toledo,Ohio,334,10.9,2.8,1.6,43.1,27.1,76.5,44,13.3,7.1
Jim,Jackson,Ohio State,1993,220,78,Toledo,Ohio,885,14.3,4.7,3.2,42.8,36.5,82.5,46.7,13.5,35.8
Chris,Jent,Ohio State,1994,220,79,Orange,California,6,6.2,2.7,1.3,46.9,42.9,50,56.3,11.6,0.2
Lawrence,Funderburke,Ohio State,1997,230,81,Columbus,Ohio,318,6.4,3.6,0.6,50.6,11.8,67.5,50.6,16.4,12.9
Michael,Redd,Ohio State,2000,220,78,Columbus,Ohio,629,19,3.8,2.1,44.7,38,83.8,50.3,19.5,55.9
Othello,Hunter,Ohio State,2008,225,80,Wston-Salem,North Carolina,23,1.4,1.6,0,46.9,-,33.3,46.9,11,0.2
Kosta,Koufos,Ohio State,2008,245,,Canton,Ohio,686,5.7,5,0.5,53.4,0,58.2,53.4,15.4,28.3
Greg,Oden,Ohio State,2008,250,,Buffalo,New York,105,8,6.2,0.5,57.4,-,65.8,57.4,18.7,7.3
Byron,Mullens,Ohio State,2009,275,,Canal Wchester,Ohio,189,7.4,4.2,0.8,40.8,31.9,70.6,44.8,12.2,0.6
Jared,Sullinger,Ohio State,2012,260,81,Columbus,Ohio,269,10.8,7.5,1.8,43.6,27.2,72.3,46.3,16.2,15.3
Dave,Jamerson,Ohio University,1990,190,77,Clarksburg,West Virginia,90,3.4,0.9,0.7,39.2,27.7,86,41.3,12,0.2
Paul,Graham,Ohio University,1991,200,78,Philadelphia,Pennsylvania,179,8.4,2.4,2,44.8,33.9,73.9,48.7,13.7,5.7
Gary,Trent,Ohio University,1995,250,80,Columbus,Ohio,506,8.6,4.5,1,50.1,8,64.3,50.1,15.9,23.2
Brandon,Hunter,Ohio University,2004,260,79,Ccnati,Ohio,67,3.3,2.8,0.3,47.6,0,48.8,47.6,12.5,0.7
Maurice,Ndour,Ohio University,2016,200,81,Sdia,Senegal,32,3.1,2,0.3,45.3,14.3,73.1,45.9,11.3,0.4
Kedrick,Brown,Okaloosa-Walton Community College,2001,222,79,Zachary,Louisiana,143,3.6,2.4,0.7,40.5,27.4,64,45.1,11,3
Al,Tucker,Oklahoma Baptist University,1971,190,80,Dayton,Ohio,352,10.1,4.9,1,45.6,37.1,72.7,46.1,13.1,11.1
Irv,Kiffin,Oklahoma Baptist University,1979,225,81,New York,New York,26,3.2,1.5,0.7,33.3,-,72,33.3,3.7,-0.6
Jim,Ware,Oklahoma City University,1968,210,79,Natchez,Mississippi,64,2.3,2.4,0.2,29.3,-,64.2,29.3,6.8,-1
Allen,Leavell,Oklahoma City University,1979,170,73,Muncie,Indiana,700,9.5,1.7,4.8,45,23.4,83.4,46.2,14.7,29.9
Leroy,Combs,Oklahoma State,1983,210,80,Oklahoma City,Oklahoma,48,4.5,1.2,0.8,49.7,0,61.5,49.7,13.5,0.4
John,Starks,Oklahoma State,1988,180,75,Tulsa,Oklahoma,866,12.5,2.5,3.6,41.2,34,76.9,47.6,14,49.9
Corey,Williams,Oklahoma State,1992,190,74,Twiggs,Georgia,39,2.4,0.9,0.7,36.7,25,82.6,37.2,9.1,0.2
Byron,Houston,Oklahoma State,1992,250,77,Watonga,Oklahoma,214,3.9,3,0.5,45.6,25.6,67.6,46.4,10.2,3.9
Thomas,Jordan,Oklahoma State,1993,220,82,Baltimore,Maryland,4,11,4.8,0.8,43.9,-,47.1,43.9,6.9,-0.2
Brooks,Thompson,Oklahoma State,1994,193,76,Dallas,Texas,168,4.5,0.9,1.7,40.9,37.6,64.7,51.9,13.4,2
Bryant,Reeves,Oklahoma State,1995,275,,Fort Smith,Arkansas,395,12.5,6.9,1.6,47.5,7.4,70.3,47.5,13.8,13
Desmond,Mason,Oklahoma State,2000,224,79,Waxahachie,Texas,643,12.1,4.5,1.6,44.9,26,74,45.4,12.7,23.1
Tony,Allen,Oklahoma State,2004,213,76,Chicago,Illinois,820,8.1,3.5,1.3,47.5,28.2,70.9,48.7,14.2,38.7
Mark,Baker,Oklahoma State,2005,175,73,Granite City,Illinois,5,0,0.4,0.2,0,-,-,0,-0.2,0
Melvin,Sanders,Oklahoma State,2005,210,77,Liberal,Kansas,16,2.6,1.4,0.2,48.5,66.7,70,51.5,10.5,0.2
Stephen,Graham,Oklahoma State,2005,215,78,Wilmgton,Delaware,239,4,1.8,0.5,44.6,30.8,76.6,47.7,8.2,1.7
Joey,Graham,Oklahoma State,2005,225,79,Wilmgton,Delaware,377,5.9,2.8,0.5,48.3,30,81.5,49.8,11,7.8
Ivan,McFarlin,Oklahoma State,2006,240,80,Missouri City,Texas,11,1.4,1,0.1,38.5,0,71.4,38.5,12.2,0.1
