fname,lname,school,debut_x,wt_x,ht(inches),b_city_x,b_state_x,g,pts,trb,ast,fgp,fg3p,ftp,efgp,per,ws,,,
Chuck,Aleksinas,UConn,1984,260lb,83,Litchfield,Connecticut,74,5.1,3.6,0.5,47.8,0,73.3,47.8,9.1,0.4,,,
Lance,Allred,Weber State,2008,250lb,83,Salt Lake City,Utah,3,1,0.3,0,25,-,50,25,-1,0,,,
Derrick,Alston,Duquesne,1994,225lb,83,Bronx,New York,139,5.4,3.8,0.7,48.9,14.3,48.7,49,11.7,2.6,,,
Rafael,Araujo,BYU,2004,280lb,83,Curitiba,Brazil,139,2.8,2.8,0.3,40.5,25,67.9,40.6,6.3,-0.4,,,
Robert,Archibald,Illinois,2002,250lb,83,Paisley,United Kingdom,44,1.2,1.6,0.4,28.3,-,42.9,28.3,4.9,0,,,
Hilton,Armstrong,UConn,2006,235lb,83,Peekskill,New York,292,3,2.6,0.3,50.1,28.6,58.2,50.2,9.9,3.9,,,
Thurl,Bailey,NC State,1983,215lb,83,Washgton,District of Columbia,928,12.8,5.1,1.4,47.3,11.4,81.2,47.3,14.3,45,,,
Vin,Baker,University of Hartford,1993,232lb,83,Lake Wales,Florida,791,15,7.4,1.9,48.5,21.5,63.8,48.7,16.3,47,,,
Tony,Battie,Texas Tech,1997,230lb,83,Dallas,Texas,837,6.1,5.1,0.6,48.8,16.2,69,49,12.6,36.4,,,
Calvin,Booth,Penn State,2000,230lb,83,Reynoldsburg,Ohio,366,3.3,2.8,0.4,45.1,22.2,74.8,45.2,12.4,8,,,
Chris,Bosh,Georgia Tech,2003,235lb,83,Dallas,Texas,893,19.2,8.5,2,49.4,33.5,79.9,50.6,20.6,106,,,
Pat,Burke,Auburn,2002,250lb,83,Dubl,Ireland,127,3.7,2.1,0.3,40.8,25,66.3,41.7,8.9,-0.2,,,
Greg,Butler,Stanford,1988,240lb,83,Inglewood,California,55,1.4,1,0.1,35.4,0,71.4,35.4,2.9,-0.3,,,
Marcus,Camby,UMass,1996,220lb,83,Hartford,Connecticut,973,9.5,9.8,1.9,46.6,20.5,67,46.8,17.8,81.6,,,
Elden,Campbell,Clemson,1990,215lb,83,Los Angeles,California,1044,10.3,5.9,1.1,46,5.4,69.9,46,15.9,62.8,,,
Kelvin,Cato,Iowa State,1997,255lb,83,Atlanta,Georgia,541,5.5,5.3,0.5,50.7,7.7,64.4,50.7,14.4,28.6,,,
Jim,Chones,Marquette,1972,220lb,83,Race,Wisconsin,788,12.5,8.2,1.6,47.8,0,68,47.8,13.9,45.8,,,
Keon,Clark,UNLV,1999,220lb,83,Danville,Illinois,353,8.2,5.9,0.9,50,5.3,64.5,50,15.4,18.2,,,
Dave,Corzine,DePaul,1978,250lb,83,Arlgton Heights,Illinois,891,8.5,5.9,1.7,48.4,18.9,74.7,48.5,13.6,37.3,,,
Marcus,Cousin,Houston,2011,245lb,83,Baltimore,Maryland,4,1,0.8,0,66.7,-,-,66.7,7.8,0,,,
William,Cunningham,Temple,1998,250lb,83,Augusta,Georgia,23,0.6,1.7,0.1,25.9,-,0,25.9,2.2,-0.1,,,
Samuel,Dalembert,Seton Hall,2001,255lb,83,Port-Au-Prce,Haiti,886,7.7,7.8,0.5,52.1,8.3,70.6,52.1,15.4,51.3,,,
Erick,Dampier,Mississippi State,1996,265lb,83,Jackson,Mississippi,987,7.4,7.1,0.8,49.8,12.5,62.6,49.8,14.3,52.7,,,
Dale,Davis,Clemson,1991,230lb,83,Toccoa,Georgia,1094,8,7.9,0.9,53,0,56.2,53,15.2,86.9,,,
Deyonta,Davis,Michigan State,2016,237lb,83,Muskegon,Michigan,107,4.2,3.2,0.4,59.9,0,63.5,59.9,15.4,3.6,,,
Paul,Davis,Michigan State,2006,270lb,83,Detroit,Michigan,82,2.6,1.9,0.4,40.2,0,73.2,40.2,10.6,0.5,,,
Austin,Daye,Gonzaga,2009,220lb,83,Irve,California,293,5.2,2.6,0.7,40.2,35.1,77.8,46.9,11.6,4.5,,,
Michael,Doleac,Utah,1999,262lb,83,San Antonio,Texas,587,4.9,3.3,0.6,43.9,12.5,79.1,43.9,10.8,12.7,,,
Tim,Duncan,Wake Forest,1997,250lb,83,St. Croix,U.S. Virgin Islands,1392,19,10.8,3,50.6,17.9,69.6,50.7,24.2,206.4,,,
Jim,Eakins,BYU,1968,215lb,83,Sacramento,California,767,10.8,7.3,1.8,50.4,0,78.8,50.4,16.5,57.5,,,
Patrick,Eddie,Ole Miss,1991,240lb,83,Milwaukee,Wisconsin,4,1,0.3,0,22.2,-,-,22.2,-8.8,-0.1,,,
Chris,Engler,Wyoming,1982,245lb,83,Stillwater,Minnesota,195,1.8,2,0.2,41.1,-,67.7,41.1,7.2,0.6,,,
Evan,Eschmeyer,Northwestern,2000,255lb,83,New Knoxville,Ohio,153,2.8,3.9,0.5,46.3,-,62.1,46.3,10.6,4,,,
Festus,Ezeli,Vanderbilt,2012,255lb,83,Ben City,Nigeria,170,4.2,4.3,0.4,51.3,-,55.7,51.3,13.4,5.9,,,
Nick,Fazekas,Nevada,2007,235lb,83,Denver,Colorado,26,4.1,3.4,0.4,56.1,0,68.2,56.1,19.6,0.8,,,
Dave,Feitl,Texas-El Paso,1986,235lb,83,Butler,Pennsylvania,275,4.3,3,0.5,43.3,0,75.1,43.3,9.8,1.4,,,
Matt,Fish,UNC Wilmington,1994,235lb,83,Washgton,Iowa,50,3.5,2.2,0.5,50,0,62.5,50,11.9,0.6,,,
Greg,Foster,Texas-El Paso,1990,240lb,83,Oakland,California,656,3.9,2.6,0.5,44,22.5,74.8,44.4,8.9,5.6,,,
Jeff,Foster,Texas State University,1999,236lb,83,San Antonio,Texas,764,4.9,6.9,0.9,49.7,13,61.5,49.8,14.2,47.5,,,
Dan,Gadzuric,UCLA,2002,240lb,83,Den Haag,Netherlands,527,4.7,4.4,0.4,50,0,49.8,50,14.4,15.8,,,
Mickell,Gladness,Alabama A&amp;M University,2011,220lb,83,Birmgham,Alabama,26,2.2,2.2,0.2,42.4,-,50,42.4,9.5,0.2,,,
Mike,Gminski,Duke,1980,250lb,83,Monroe,Connecticut,938,11.7,6.9,1.3,46.5,12.2,84.3,46.5,16.3,55.9,,,
Donte,Greene,Syracuse,2008,226lb,83,Munich,Germany,253,6.1,2.4,0.7,40.6,30.4,70.1,46.3,10,1.5,,,
Zendon,Hamilton,St. John's,2000,250lb,83,Floral Park,New York,134,4.4,3.5,0.2,44,-,66,44,14,3,,,
Antonio,Harvey,Pfeiffer University,1993,225lb,83,Pascagoula,Mississippi,187,3,2.3,0.3,40.7,33.3,51.1,40.8,9.7,0.3,,,
Scott,Haskin,Oregon State,1993,250lb,83,Riverside,California,27,2,2,0.2,46.7,-,68.4,46.7,11.3,0.3,,,
Jerome,Henderson,New Mexico,1986,230lb,83,Los Angeles,California,7,2.3,1.1,0,37.5,-,100,37.5,0.7,-0.1,,,
Dave,Hoppen,Nebraska,1988,235lb,83,Omaha,Nebraska,169,5,3.8,0.6,51.8,20,75.1,51.9,11.3,3.6,,,
Kim,Hughes,Wisconsin,1975,220lb,83,Freeport,Illinois,425,3.8,5.6,0.9,47.9,-,39.7,47.9,11.4,13.9,,,
Chris,Hunter,Michigan,2009,240lb,83,Gary,Indiana,60,4.5,2.8,0.6,50.2,0,75.4,50.2,12.2,1.3,,,
Jared,Jeffries,Indiana,2002,230lb,83,Bloomgton,Indiana,629,4.8,4.1,1.3,42.6,25,58.3,44,9.6,13.1,,,
George,Johnson,Stephen F. Austin,1971,245lb,83,Harleton,Texas,136,3.7,5,0.6,44.9,-,53.9,44.9,8.6,3,,,
George,Johnson,Stephen F. Austin,1971,245lb,83,Harleton,Texas,136,3.7,5,0.6,44.9,-,53.9,44.9,8.6,3,,,
George,Johnson,Stephen F. Austin,1971,245lb,83,Harleton,Texas,136,3.7,5,0.6,44.9,-,53.9,44.9,8.6,3,,,
George,Johnson,Stephen F. Austin,1971,245lb,83,Harleton,Texas,136,3.7,5,0.6,44.9,-,53.9,44.9,8.6,3,,,
George,Johnson,Stephen F. Austin,1971,245lb,83,Harleton,Texas,136,3.7,5,0.6,44.9,-,53.9,44.9,8.6,3,,,
George,Johnson,Stephen F. Austin,1971,245lb,83,Harleton,Texas,136,3.7,5,0.6,44.9,-,53.9,44.9,8.6,3,,,
George,Johnson,Stephen F. Austin,1971,245lb,83,Harleton,Texas,136,3.7,5,0.6,44.9,-,53.9,44.9,8.6,3,,,
George,Johnson,Stephen F. Austin,1971,245lb,83,Harleton,Texas,136,3.7,5,0.6,44.9,-,53.9,44.9,8.6,3,,,
George,Johnson,Stephen F. Austin,1971,245lb,83,Harleton,Texas,136,3.7,5,0.6,44.9,-,53.9,44.9,8.6,3,,,
Lee,Johnson,East Texas State University,1980,205lb,83,Plummerville,Arkansas,12,1.4,1.8,0.1,28,-,60,28,0.8,-0.2,,,
Jim,Johnstone,Wake Forest,1982,245lb,83,New Canaan,Connecticut,23,1.3,2,0.5,36.7,-,45,36.7,4.5,-0.1,,,
Perry,Jones III,Baylor,2012,235lb,83,Wnsboro,Louisiana,143,3.4,1.8,0.4,42,29.3,66,45.9,8.5,1.7,,,
Alvin,Jones,Georgia Tech,2001,265lb,83,Luxembourg,Luxembourg,23,1.1,1.6,0.1,40,-,50,40,6.2,0.1,,,
Caldwell,Jones,Albany State University,1973,217lb,83,McGehee,Arkansas,1299,7.9,8.2,1.4,47.4,12.3,75.6,47.5,12.1,66.2,,,
Ozell,Jones,Cal State Fullerton,1984,235lb,83,Long Beach,California,70,3.5,3.4,0.8,58.2,0,39.8,58.2,11.1,1.2,,,
Yvon,Joseph,Georgia Tech,1985,245lb,83,Cap-Haitian,Haiti,1,2,0,0,-,-,100,-,12.8,0,,,
Sasha,Kaun,Kansas,2015,260lb,83,Tomsk,Russia,25,0.9,1,0.1,52.9,-,45.5,52.9,12.5,0.2,,,
Ryan,Kelly,Duke,2013,230lb,83,Carmel,New York,163,6,3.1,1.3,37.8,31.6,79.7,43.8,10.5,3,,,
Jonathan,Kerner,East Carolina University,1999,245lb,83,Atlanta,Georgia,1,0,0,0,0,-,-,0,-15.2,0,,,
Alec,Kessler,Georgia,1990,230lb,83,Mneapolis,Minnesota,210,5.2,3.6,0.4,42.6,41.7,74.4,43.1,9.6,2,,,
Stacey,King,Oklahoma,1989,230lb,83,Lawton,Oklahoma,438,6.4,3.3,0.9,47.8,23.5,70.7,47.9,11.9,10.9,,,
Greg,Kite,BYU,1983,250lb,83,Houston,Texas,680,2.5,3.8,0.5,43.8,16.7,48.6,43.8,6.5,5.6,,,
Joe,Kleine,Arkansas,1985,255lb,83,Colorado Sprgs,Colorado,965,4.8,4.1,0.6,45.3,27.1,79.4,45.4,10.5,19.1,,,
Christian,Laettner,Duke,1992,235lb,83,Angola,New York,868,12.8,6.7,2.6,48,26.1,82,48.6,16.9,64.9,,,
