fname,lname,school,debut_x,wt_x,ht(inches),b_city_x,b_state_x,g,pts,trb,ast,fgp,fg3p,ftp,efgp,per,ws,,,
Doug,West,Villanova,1989,200lb,78,Altoona,Pennsylvania,676,9.6,2.5,1.9,48.1,19.1,80.1,48.4,11.5,17.7,,,
Ken,Wilburn,Central State University,1968,195lb,78,River Rouge,Michigan,54,3.9,3.9,0.5,39.1,-,50.6,39.1,13.5,0.1,,,
Bob,Wilkerson,Indiana,1976,195lb,78,Anderson,Indiana,536,10.1,4.2,3.4,42.5,16.7,75.1,42.6,11.1,8.2,,,
Jamaal,Wilkes,UCLA,1974,190lb,78,Berkeley,California,828,17.7,6.2,2.5,49.9,13.5,75.9,50,16.5,71.3,,,
James,Wilkes,UCLA,1974,190lb,78,Berkeley,California,828,17.7,6.2,2.5,49.9,13.5,75.9,50,16.5,71.3,,,
Gerald,Wilkins,Chattanooga,1985,185lb,78,Atlanta,Georgia,900,13,2.9,3,45,31.6,74.5,47,13,33.9,,,
Alan,Williams,Drake University,1970,200lb,78,</span,],11,3.9,2.4,0.5,44.2,-,50,44.2,15.3,0,,,
Alvin,Williams,Drake University,1970,200lb,78,</span,],11,3.9,2.4,0.5,44.2,-,50,44.2,15.3,0,,,
Brandon,Williams,Davidson,1998,215lb,78,Collston,Louisiana,18,2.3,1,0.2,29.8,30,50,32.5,1.9,-0.4,,,
Terrence,Williams,Louisville,2009,220lb,78,Seattle,Washington,153,7.1,3.6,2.4,41.2,31.7,65.9,43.9,11.5,-0.2,,,
Travis,Williams,South Carolina State University,1997,215lb,78,Columbia,South Carolina,47,3.2,2.4,0.5,47,0,54,47,13,0.5,,,
Troy,Williams,South Carolina State University,1997,215lb,78,Columbia,South Carolina,47,3.2,2.4,0.5,47,0,54,47,13,0.5,,,
Jamil,Wilson,Southern University and A&amp;M College,1968,200lb,78,Camden,Arkansas,70,5.2,2.7,0.6,37.8,42.9,65.2,38.6,9.8,0.4,,,
Randy,Wittman,Indiana,1983,210lb,78,Indianapolis,Indiana,543,7.4,1.4,2.2,50.1,32.1,75.3,50.4,11.2,17.2,,,
Al,Wood,UNC,1981,193lb,78,Gray,Georgia,417,11.8,3,1.8,46.5,21.1,78.9,47,13.9,15.4,,,
Tony,Wroten,Washington,2012,205lb,78,Seattle,Washington,145,11.1,2.5,3,41.3,23.1,64.7,44.3,12.6,-1.3,,,
James,Young,Kentucky,2014,215lb,78,Flt,Michigan,95,2.3,1,0.3,36.7,27.7,56.3,45.7,7.4,0.8,,,
Sam,Young,Pitt,2009,220lb,78,Washgton,District of Columbia,249,5.8,2.3,0.7,44.2,28,74.2,46.2,11.5,5.2,,,
Alex,Acker,Pepperdine,2006,185lb,77,Compton,California,30,2.7,1,0.5,37,32,50,41.3,8.5,-0.2,,,
Jordan,Adams,UCLA,2014,209lb,77,Atlanta,Georgia,32,3.2,0.9,0.6,40.2,38.5,60.7,45.7,13.1,0.4,,,
Arron,Afflalo,UCLA,2007,210lb,77,Los Angeles,California,762,10.8,2.9,1.8,45,38.6,82.5,51.4,11.9,33.5,,,
Maurice,Ager,Michigan State,2006,202lb,77,Detroit,Michigan,82,2.1,0.6,0.2,33.9,25,56.6,36.8,2.8,-0.9,,,
Rawle,Alkins,Arizona,2018,225lb,77,Brooklyn,New York,10,3.7,2.6,1.3,33.3,25,66.7,37.2,8.1,-0.1,,,
Derek,Anderson,Kentucky,1997,194lb,77,Louisville,Kentucky,615,12,3.2,3.4,40.8,34.1,85.3,46.3,15.3,43.9,,,
Brandon,Armstrong,Pepperdine,2001,188lb,77,San Francisco,California,108,2.2,0.6,0.2,35.2,33.3,60,39.5,4.9,-0.6,,,
Bob,Arnzen,Notre Dame,1969,205lb,77,Covgton,Kentucky,111,4,2,0.3,46.5,20,80,46.6,13.6,1.4,,,
Kelenna,Azubuike,Kentucky,2007,220lb,77,London,United Kingdom,208,10.5,4,1.1,45.9,40.9,77,51.9,14.3,9.3,,,
Chris,Babb,Iowa State,2014,225lb,77,Arlgton,Texas,14,1.6,1.2,0.2,26.7,22.2,-,36.7,3.7,0,,,
Gus,Bailey,Texas-El Paso,1974,185lb,77,Gibson,North Carolina,147,2.6,1.7,1.1,40.6,100,51,40.8,11.3,0.8,,,
Stephen,Bardo,Illinois,1992,190lb,77,Henderson,Kentucky,33,2.2,1.8,1.3,32.9,10,69.6,33.5,8.1,-0.1,,,
Drew,Barry,Georgia Tech,1998,191lb,77,Oakland,California,60,2.2,1.1,1.9,41.7,38.1,77.4,53.4,9.8,0.6,,,
Eddie,Basden,UNC Charlotte,2005,215lb,77,New York,New York,19,2.1,1.5,0.4,40.5,14.3,80,41.9,10.3,0.2,,,
Johnny,Baum,Temple,1971,200lb,77,Philadelphia,Pennsylvania,244,6.1,2.7,0.6,48,0,75.8,48,13.8,5.7,,,
Raja,Bell,Florida International University,2001,204lb,77,St. Croix,U.S. Virgin Islands,706,9.9,2.8,1.7,43.4,40.6,79.9,51.4,10.9,32.7,,,
Norman,Black,Saint Joseph's,1980,185lb,77,Baltimore,Maryland,3,2.7,0.7,0.7,30,-,25,30,1.9,-0.1,,,
Keith,Bogans,Kentucky,2003,215lb,77,Alexandria,Virginia,671,6.3,2.7,1.3,39.4,35.3,71.6,48.9,9.6,20.4,,,
Walter,Bond,Minnesota,1992,200lb,77,Chicago,Illinois,153,5.7,1.9,1.2,40.9,29.9,76.7,43.4,9.2,0.7,,,
Ron,Bonham,Cincinnati,1967,192lb,77,Muncie,Indiana,118,6.1,1.4,0.4,38.8,0,82.4,38.8,16.7,2.7,,,
Ira,Bowman,Penn,2000,195lb,77,Newark,New Jersey,17,0.9,0.3,0.5,63.6,0,50,63.6,13.4,0.2,,,
Donnie,Boyce,Colorado,1996,196lb,77,Chicago,Illinois,30,2.6,0.8,0.5,34.9,25,50,38.4,9.3,-0.3,,,
Charles,Bradley,Wyoming,1981,215lb,77,Havre De Grace,Maryland,110,3.2,1.1,0.5,41.6,0,58.5,41.6,8.4,0.3,,,
Junior,Bridgeman,Louisville,1975,210lb,77,East Chicago,Indiana,849,13.6,3.5,2.4,47.5,24.4,84.6,47.7,15.6,45,,,
John,Brisker,Toledo,1969,210lb,77,Detroit,Michigan,331,20.7,6.5,2.4,45.3,32.1,83.4,46.7,20.1,22.1,,,
MarShon,Brooks,Providence,2011,200lb,77,Long Branch,New Jersey,200,8,2.1,1.4,44.7,34.5,75.1,48.7,13.9,3.3,,,
Lorenzo,Brown,NC State,2013,189lb,77,Roswell,Georgia,103,2.8,1.5,1.8,36.4,17,70.7,39.1,9,-0.2,,,
Roger,Brown,Dayton,1967,205lb,77,Brooklyn,New York,605,17.4,6.2,3.8,46.9,32.1,79.1,48.8,17.2,65.2,,,
Rodney,Buford,Creighton,1999,189lb,77,Milwaukee,Wisconsin,230,6.4,2.6,0.8,41.2,30,75.8,43.6,10,2.9,,,
Roger,Burkman,Louisville,1981,175lb,77,Indianapolis,Indiana,6,0.8,1,0.8,0,0,83.3,0,15.5,0.1,,,
Joe,Caldwell,Arizona State,1970,195lb,77,Texas City,Texas,782,16.1,5.3,3.4,46.6,22.5,57.2,46.7,14.7,37.8,,,
Rick,Carlisle,Virginia,1984,210lb,77,Ogdensburg,New York,188,2.2,0.8,1.1,42.2,22.9,77.5,43.5,7,0.5,,,
Chris,Carr,Southern Illinois,1995,207lb,77,Ironton,Missouri,297,6.7,2.2,1,41.6,33.8,80.7,46.2,11.9,3.9,,,
Butch,Carter,Indiana,1980,180lb,77,Sprgfield,Ohio,361,8.7,1.5,1.9,47.5,30.7,78.8,48.5,12.7,8.5,,,
Howard,Carter,LSU,1983,215lb,77,Baton Rouge,Louisiana,66,5.3,1.3,1.1,44,22.7,77.4,44.7,10.3,0,,,
Maurice,Carter,LSU,2004,210lb,77,Jackson,Mississippi,10,4.2,1.1,0.4,31.4,36.4,80,37.1,5.8,0,,,
Ron,Carter,Virginia Military Institute,1978,190lb,77,Pittsburgh,Pennsylvania,59,3,1.1,0.6,42.9,-,62.3,42.9,8,-0.2,,,
Jerry,Chambers,Utah,1972,185lb,77,Washgton,District of Columbia,320,8.3,3.2,0.8,44,20,77.4,44,13.2,5.2,,,
Don,Chaney,Houston,1975,210lb,77,Baton Rouge,Louisiana,790,8.4,4,2.2,43.6,20,77.6,43.7,11.6,36.3,,,
Dionte,Christmas,Temple,2013,205lb,77,Philadelphia,Pennsylvania,31,2.3,1.2,0.3,35.5,29,75,42.7,11.1,0.3,,,
Patrick,Christopher,California,2014,209lb,77,Compton,California,4,1.5,1.5,0,25,0,-,25,-2.6,-0.1,,,
Charles,Cooke,Dayton,2017,196lb,77,Trenton,New Jersey,13,0.5,0.2,0.1,14.3,12.5,50,17.9,-5.1,-0.2,,,
Michael,Cooper,New Mexico,1978,170lb,77,Los Angeles,California,873,8.9,3.2,4.2,46.9,34,83.3,50.2,12.8,52.5,,,
Jamal,Crawford,Michigan,2000,185lb,77,Seattle,Washington,1326,14.6,2.2,3.4,41,34.8,86.2,47.7,15.1,60.6,,,
Joe,Crawford,Kentucky,2009,210lb,77,Detroit,Michigan,2,4.5,2,0.5,30,25,100,35,10.8,0,,,
Jordan,Crawford,Kentucky,2009,210lb,77,Detroit,Michigan,2,4.5,2,0.5,30,25,100,35,10.8,0,,,
Javaris,Crittenton,Georgia Tech,2007,200lb,77,Atlanta,Georgia,113,5.3,2.4,1.8,44.2,23.1,63.8,45.4,10.6,0.1,,,
Corey,Crowder,Kentucky Wesleyan College,1991,214lb,77,Carrollton,Georgia,58,2.1,0.8,0.3,36.9,38.2,70.8,42.2,7.6,0.2,,,
Michael,Curry,Georgia Southern University,1993,210lb,77,Anniston,Alabama,667,4.5,1.6,1.2,44.7,29.8,82.5,46.3,7.5,17.8,,,
Adrian,Dantley,Notre Dame,1976,208lb,77,Washgton,District of Columbia,955,24.3,5.7,3,54,17.1,81.8,54,21.5,134.2,,,
Hubert,Davis,UNC,1992,183lb,77,Wston-Salem,North Carolina,685,8.2,1.5,1.7,45.8,44.1,83.7,53.7,11.8,27.7,,,
Andre,Dawkins,Duke,2014,215lb,77,Fairfax,Virginia,4,0.8,0.5,0.3,16.7,16.7,-,25,-5,-0.1,,,
Paul,Dawkins,Northern Illinois,1979,190lb,77,Sagaw,Michigan,57,5.5,2.2,1.4,47,20,68.8,47.2,11,-0.1,,,
Fennis,Dembo,Wyoming,1988,215lb,77,Mobile,Alabama,31,1.2,0.7,0.2,33.3,0,80,33.3,7.8,-0.1,,,
Michael,Dickerson,Arizona,1999,190lb,77,Greenville,South Carolina,212,15.4,2.9,2.6,43.2,40.2,78.4,48.3,13.4,9.6,,,
Tyler,Dorsey,Oregon,2017,183lb,77,Pasadena,California,104,6.7,2.3,1.3,38.9,35,66.9,47.8,10.5,1,,,
Nate,Driggers,University of Montevallo,1996,215lb,77,Chicago,Illinois,15,2.4,1.5,0.4,30.2,0,71.4,30.2,6.8,-0.2,,,
Ledell,Eackles,New Orleans,1988,220lb,77,Baton Rouge,Louisiana,441,10.8,2.2,1.7,44.5,33.6,76.7,46.1,13.8,10.8,,,
Keith,Edmonson,Purdue,1982,195lb,77,Gulfport,Mississippi,87,6,1.5,0.6,44.8,0,71.9,44.8,12.6,0.4,,,
Mario,Elie,American International College,1990,210lb,77,New York,New York,732,8.6,2.8,2.6,47.3,36.5,85.4,53.7,13.1,48.9,,,
Harold,Ellis,Morehouse College,1994,200lb,77,Atlanta,Georgia,145,5.8,2,0.6,52.7,4.8,65.3,52.8,16.4,4.6,,,
Andre,Emmett,Texas Tech,2005,230lb,77,Dallas,Texas,14,1.4,0.6,0.1,46.2,0,61.5,46.2,8.5,0.1,,,
Maurice,Evans,Texas,2001,220lb,77,Wichita,Kansas,562,6.7,2.5,0.7,44.2,36.3,78.5,50.8,11.9,21.7,,,
Desmon,Farmer,USC,2006,220lb,77,Flt,Michigan,11,2.4,0.6,1,31,25,100,39.7,6,0,,,
Kenny,Fields,UCLA,1984,220lb,77,Iowa City,Iowa,184,6.2,2.5,1,47.4,18.8,73.3,47.5,11.7,4.2,,,
Vern,Fleming,Georgia,1984,185lb,77,New York,New York,893,11.3,3.4,4.8,49.8,18.1,76.4,50.1,15.1,52,,,
Chris,Ford,Villanova,1972,190lb,77,Atlantic City,New Jersey,794,9.2,3,3.4,46,37.5,73.1,46.9,12.2,35.6,,,
Richie,Frahm,Gonzaga,2003,210lb,77,Battle Ground,Washington,140,3.6,1.2,0.6,41.1,35.6,81,52.1,12,2.8,,,
Jamaal,Franklin,San Diego State,2013,191lb,77,Moreno Valley,California,24,1.8,1,0.4,41.5,46.2,100,48.8,4.7,0,,,
Kevin,Gamble,Iowa,1987,210lb,77,Sprgfield,Illinois,649,9.5,2.2,2,50.2,36,81,52.4,14.2,33.3,,,
Thomas,Gardner,Missouri,2007,225lb,77,Portland,Oregon,20,2.3,0.6,0.2,30.5,20,33.3,36.4,2.4,-0.4,,,
Tate,George,UConn,1990,190lb,77,Newark,New Jersey,177,4.2,1,1.8,41.4,7.1,82,41.5,10.7,1.3,,,
Marcus,Georges-Hunt,Georgia Tech,2017,216lb,77,Miami,Florida,47,1.6,0.5,0.2,41.8,29.4,71,46.4,7.5,0.3,,,
Kendall,Gill,Illinois,1990,195lb,77,Chicago,Illinois,966,13.4,4.1,3,43.4,30,75.4,44.8,14.7,47.8,,,
Jack,Givens,Kentucky,1978,205lb,77,Lexgton,Kentucky,156,6.7,2.9,0.9,40.1,0,79.1,40.1,12.3,4.3,,,
Gerald,Glass,Ole Miss,1990,221lb,77,Greenwood,Mississippi,201,7.7,2.5,1.5,43.3,23.6,64.3,44.2,13.3,1.8,,,
Dion,Glover,Georgia Tech,1999,228lb,77,Marietta,Georgia,294,8.2,3.1,1.5,41.1,31.7,75.6,44.5,12.8,5.8,,,
Grant,Gondrezick,Pepperdine,1986,205lb,77,Boulder,Colorado,91,5,1.6,1.3,43.8,25,68.7,44.7,11.1,0.8,,,
Archie,Goodwin,Kentucky,2013,200lb,77,Little Rock,Arkansas,165,6.3,2,1.2,42.9,23.6,70,45.5,11.6,1.1,,,
Jeff,Grayer,Iowa State,1988,200lb,77,Flt,Michigan,438,7.4,3,1.4,45.7,25.5,66.3,46.3,12,9,,,
Sean,Green,Iona College,1991,210lb,77,Santa Monica,California,84,4.2,1,0.5,38.6,24.6,62,40.5,9.7,-1.3,,,
Kevin,Grevey,Kentucky,1975,210lb,77,Hamilton,Ohio,672,11,2.4,1.9,43.7,33.4,81.7,44.8,12.9,26.5,,,
Adrian,Griffin,Seton Hall,1999,217lb,77,Wichita,Kansas,477,4,3.2,1.4,43.8,27.8,76.3,45.2,11.8,16.3,,,
Shaler,Halimon,Utah State University,1971,199lb,77,Tampa,Florida,254,6.2,3.1,1.7,40,11.1,64.4,40.1,11.8,0.5,,,
Adam,Harrington,Auburn,2002,200lb,77,Bernardston,Massachusetts,19,1.6,0.4,0.6,29.7,35.7,75,36.5,7.4,0,,,
Lucious,Harris,Cal State Long Beach,1993,190lb,77,Los Angeles,California,800,7.2,2.3,1.4,42.6,34.8,79,46.5,12.8,28.7,,,
Manny,Harris,Michigan,2010,185lb,77,Detroit,Michigan,93,6.2,2.7,1.4,38,35.3,73.8,43,10.7,0.1,,,
Steve,Harris,Tulsa,1985,195lb,77,Kansas City,Missouri,207,7,1.8,1.1,43.4,5,84.2,43.5,13.3,3.1,,,
Terrel,Harris,Oklahoma State,2011,190lb,77,Dallas,Texas,42,2.3,1.8,0.8,30,17,67.7,33.6,3.5,-0.6,,,
Trenton,Hassell,Austin Peay State University,2001,200lb,77,Clarksville,Tennessee,644,5.8,2.8,1.8,44.5,31.8,76.5,45.9,8.4,13.8,,,
Joey,Hassett,Providence,1977,180lb,77,Providence,Rhode Island,292,5.9,1.1,1.3,42.1,33.6,86.1,47.8,12.9,6.4,,,
Reggie,Hearn,Northwestern,2018,210lb,77,Fort Wayne,Indiana,3,1,0,0,50,50,-,75,13.1,0,,,
Dave,Henderson,Duke,1988,195lb,77,Henderson,North Carolina,22,5.7,1.6,1.5,40.5,0,68.1,40.5,6.7,-0.4,,,
Art,Heyman,Duke,1967,205lb,77,New York,New York,310,13,4.7,2.8,42.7,28.1,70.3,43.8,16,19.3,,,
Cory,Higgins,Colorado,2012,180lb,77,Danville,California,44,3.7,0.9,0.9,32.4,20,69.4,33.8,4.7,-1.3,,,
Dennis,Hopson,Ohio State,1987,200lb,77,Toledo,Ohio,334,10.9,2.8,1.6,43.1,27.1,76.5,44,13.3,7.1,,,
Byron,Houston,Oklahoma State,1992,250lb,77,Watonga,Oklahoma,214,3.9,3,0.5,45.6,25.6,67.6,46.4,10.2,3.9,,,
Larry,Hughes,Saint Louis,1999,184lb,77,St. Louis,Missouri,727,14.1,4.2,3.1,40.6,30.9,75.7,43.5,14.9,32.3,,,
Rick,Hughes,Loyola Chicago,1985,215lb,77,Chicago,Illinois,68,5.2,1.7,0.9,40.9,17.6,58.3,41.3,8.2,-0.5,,,
RJ,Hunter,Georgia State University,2015,185lb,77,Oxford,Ohio,45,3,1,0.4,37.1,29.5,81.8,47,8.4,0.4,,,
Byron,Irvin,Missouri,1989,190lb,77,LaGrange,Illinois,87,5.2,1.4,0.8,47.1,35,72.2,48.1,16,2.1,,,
Dave,Jamerson,Ohio University,1990,190lb,77,Clarksburg,West Virginia,90,3.4,0.9,0.7,39.2,27.7,86,41.3,12,0.2,,,
Othyus,Jeffers,Robert Morris University (IL),2010,200lb,77,Chicago,Illinois,37,3.8,2.6,0.6,46,16.7,66.7,46.5,12.7,0.8,,,
Dontell,Jefferson,Arkansas,2009,195lb,77,Lithonia,Georgia,6,4.8,2,1.5,50,50,66.7,52.3,12.7,0.2,,,
Orlando,Johnson,UC Santa Barbara,2012,220lb,77,Monterey,California,103,3.2,1.7,0.7,35.8,31.1,72.7,43,8.5,1.4,,,
Trey,Johnson,Jackson State University,2009,218lb,77,Jackson,Mississippi,23,2.6,0.9,0.7,38.5,33.3,94.7,39.4,8.1,0,,,
Askia,Jones,Kansas State,1994,200lb,77,Philadelphia,Pennsylvania,11,4.1,1,1.5,34.1,16.7,81.3,36.4,8.3,-0.1,,,
Jemerrio,Jones,New Mexico State,2019,174lb,77,Nashville,Tennessee,6,4.5,8.2,2.2,36.4,20,50,39.4,12.1,0.2,,,
Steve,Jones,Oregon,1967,205lb,77,Alexandria,Louisiana,704,15.2,3.5,2.2,44.4,33.8,82.2,45.4,13.8,36.9,,,
Coby,Karl,Boise State,2007,215lb,77,Great Falls,Montana,24,2.4,1.3,1,34.5,25,75,39.7,9.2,0,,,
Kerry,Kittles,Villanova,1996,179lb,77,Dayton,Ohio,507,14.1,3.9,2.6,43.9,37.8,78,49.3,16,44.8,,,
Tom,Kron,Kentucky,1969,200lb,77,</span,],224,6,3,2.7,38.7,36.8,76.8,39,11.4,2.6,,,
Doug,Lee,Purdue,1991,200lb,77,Washgton,Illinois,73,2.3,0.6,0.4,41.2,31,70,47.3,11,0.7,,,
Malcolm,Lee,UCLA,2012,200lb,77,Riverside,California,36,3.9,1.8,1.4,38.2,29.4,70.3,41.9,9.5,0.4,,,
Martin,Lewis,Seward County Community College,1996,210lb,77,Liberal,Kansas,25,3.6,1.4,0.3,47.3,30,59.3,49.3,11.2,0.1,,,
John,Long,Detroit Mercy,1978,195lb,77,Romulus,Michigan,893,13.6,2.8,1.9,46.7,32.2,86.2,47.2,14.2,32,,,
Felipe,Lopez,St. John's,1999,199lb,77,Santo Domgo,Dominican Republic,249,5.8,2.4,1,43.2,32.7,65.9,45.1,11.5,3.1,,,
Kevin,Lynch,Minnesota,1991,195lb,77,Bloomgton,Minnesota,95,3.3,1.3,1.1,43.6,33.3,72.6,44.1,7.7,0.4,,,
Mark,Macon,Temple,1991,185lb,77,Sagaw,Michigan,251,6.7,1.9,1.7,38.4,27,73.5,39.4,8.9,0.1,,,
Peter,Maravich,LSU,1970,197lb,77,Aliquippa,Pennsylvania,658,24.2,4.2,5.4,44.1,66.7,82,44.1,18.4,46.7,,,
Cuonzo,Martin,Purdue,1996,213lb,77,St. Louis,Missouri,7,1.3,0.4,0.4,25,60,0,37.5,4.2,-0.1,,,
Jeff,Martin,Murray State,1989,195lb,77,Cherry Valley,Arkansas,143,6.7,2,0.8,41.7,28.2,69.4,43.3,9.3,2.1,,,
Jeremiah,Martin,Murray State,1989,195lb,77,Cherry Valley,Arkansas,143,6.7,2,0.8,41.7,28.2,69.4,43.3,9.3,2.1,,,
Roger,Mason Jr.,Virginia,2003,200lb,77,Washgton,District of Columbia,518,6.3,1.7,1.3,40.8,38.3,86.6,50.9,10.9,13,,,
Tahjere,McCall,Tennessee State,2019,195lb,77,Philadelphia,Pennsylvania,1,4,1,0,66.7,0,0,66.7,9.6,0,,,
Chris,McCray,Maryland,2006,192lb,77,Capitol Heights,Maryland,5,0,0,0,0,-,-,0,-20.7,-0.1,,,
Mike,McGee,Michigan,1981,190lb,77,Tyler,Texas,520,9.6,2.1,1.2,48.7,35.4,59.7,52.3,14,15.1,,,
Kevin,McKenna,Creighton,1981,195lb,77,St. Paul,Minnesota,243,5.4,1.3,1.4,41.4,36.7,81.9,45.6,10.5,4,,,
Aaron,McKie,Temple,1994,209lb,77,Philadelphia,Pennsylvania,793,7.4,3.3,2.7,43.8,35,77.9,47.5,12.8,40,,,
Trey,McKinney-Jones,Miami (FL),2018,214lb,77,Milwaukee,Wisconsin,1,0,0,0,-,-,-,-,0,0,,,
Nate,McMillan,NC State,1986,195lb,77,Raleigh,North Carolina,796,5.9,4,6.1,44.3,34.3,65,47.9,14.5,50.2,,,
Darnell,Mee,Western Kentucky,1993,175lb,77,Cleveland,Tennessee,40,1.9,0.9,0.5,31.2,22.2,44.4,34.4,6.5,-0.1,,,
Jay,Miller,Notre Dame,1968,205lb,77,St. Louis,Missouri,117,5.5,1.8,0.4,41.5,0,71.7,41.5,11.9,1.4,,,
Harold,Miner,USC,1992,210lb,77,Inglewood,California,200,9,2.2,1.2,46,31.1,78.5,46.8,12.6,4.2,,,
Jaylen,Morris,Molloy,2018,185lb,77,Amherst,New York,10,3.8,2.1,1.1,40.5,23.1,50,44,7.8,-0.1,,,
Anthony,Morrow,Georgia Tech,2008,210lb,77,Charlotte,North Carolina,564,9.4,2.2,0.9,44.7,41.7,88,53.9,13.2,23.2,,,
Lawrence,Moten,Syracuse,1995,185lb,77,Washgton,District of Columbia,119,6.3,1.5,1.5,40.8,29.9,65.2,45,12.6,0,,,
Allen,Murphy,Louisville,1975,190lb,77,Birmgham,Alabama,31,3.8,1.6,0.4,37,0,68.2,37,8,-0.1,,,
Kevin,Murphy,Tennessee Technological University,2012,185lb,77,Atlanta,Georgia,17,0.9,0.2,0.1,25,20,-,26.8,-4.5,-0.3,,,
Ronnie,Murphy,Jacksonville University,1987,225lb,77,Dover,Delaware,18,2,0.6,0.3,28.6,25,63.6,29.6,2.9,-0.2,,,
Toure',Murry,Wichita State,2013,195lb,77,Houston,Texas,56,2.6,0.8,0.9,43.3,41.7,61,45.1,10.7,-0.1,,,
Craig,Neal,Georgia Tech,1988,165lb,77,Muncie,Indiana,63,2.5,0.7,2.5,37.3,30.2,60,41.5,7,-0.4,,,
Jimmy,Oliver,Purdue,1991,205lb,77,Menifee,Arkansas,78,4.2,1,0.7,40.7,34,77.2,43.2,9.9,0.3,,,
Cherokee,Parks,Idaho State University,1969,210lb,77,</span,],2,0,0,0,0,-,-,0,-10.8,0,,,
Lamar,Patterson,Pitt,2015,225lb,77,Lancaster,Pennsylvania,40,2.3,1.4,1.1,32.6,23.6,72,39.5,4.4,0.1,,,
Ruben,Patterson,Cincinnati,1999,224lb,77,Cleveland,Ohio,649,10.7,4.2,1.8,51.7,17.9,64.1,52,17.1,35.1,,,
Kirk,Penney,Wisconsin,2003,220lb,77,Auckland,New Zealand,6,0.8,0.3,0.3,22.2,25,-,27.8,-6,-0.2,,,
Bobby,Phills,Southern University and A&amp;M College,1992,210lb,77,Baton Rouge,Louisiana,467,11,3.1,2.7,44.3,39,73.8,48.2,14.1,27.2,,,
Stan,Pietkiewicz,Auburn,1978,200lb,77,Huntsville,Alabama,96,3.9,1,1.8,45.8,33.3,80.6,50.2,13.1,1.5,,,
Dwayne,Polee,Pepperdine,1986,180lb,77,Los Angeles,California,1,2,0,0,25,0,-,25,-11.4,0,,,
Lavor,Postell,St. John's,2000,215lb,77,Albany,Georgia,61,3.2,0.7,0.2,33.5,25,79.5,36.6,8.9,-0.2,,,
Paul,Pressey,Tulsa,1982,185lb,77,Richmond,Virginia,724,10.6,3.9,5.1,48.5,22.2,74.9,49.1,15.5,49,,,
Laron,Profit,Maryland,1999,204lb,77,Charleston,South Carolina,135,3.3,1.5,1.2,41.9,23.6,71.2,44.4,10.6,0.7,,,
Bob,Quick,Xavier,1972,215lb,77,Thornton,Mississippi,142,6,2.8,0.7,45.4,-,74.6,45.4,13.4,4.3,,,
Joe,Reaves,Bethel College,1973,210lb,77,</span,],19,4.2,2.8,0.4,44.4,-,47.1,44.4,9.5,-0.1,,,
Josh,Reaves,Bethel College,1973,210lb,77,</span,],19,4.2,2.8,0.4,44.4,-,47.1,44.4,9.5,-0.1,,,
Davon,Reed,Miami (FL),2018,208lb,77,Prceton,New Jersey,31,2.4,1.5,0.5,30.7,31,66.7,38.1,5.3,-0.2,,,
Billy,Reid,San Francisco,1980,190lb,77,New York,New York,59,3.2,1,1.2,45.4,0,56.4,45.4,6.2,-0.6,,,
Micheal Ray,Richardson,Montana,1978,189lb,77,Lubbock,Texas,556,14.8,5.5,7,45.7,22,69,46.5,16.9,35.2,,,
Norman,Richardson,Hofstra,2002,190lb,77,Brooklyn,New York,11,2.7,0.7,0.2,38.5,50,66.7,46.2,10.3,0,,,
Mitch,Richmond,Kansas State,1988,215lb,77,Fort Lauderdale,Florida,976,21,3.9,3.5,45.5,38.8,85,49.7,17.6,79.3,,,
Isaiah,Rider,UNLV,1993,215lb,77,Oakland,California,563,16.7,3.8,2.7,44.3,35.2,81.2,48.4,14.7,22.8,,,
Andre,Roberson,Oral Roberts,1977,185lb,77,Chattanooga,Tennessee,213,7.8,3.9,1.2,41.2,0,69.9,41.2,10.7,3.3,,,
Anthony,Roberson,Oral Roberts,1977,185lb,77,Chattanooga,Tennessee,213,7.8,3.9,1.2,41.2,0,69.9,41.2,10.7,3.3,,,
Anthony,Roberts,Oral Roberts,1977,185lb,77,Chattanooga,Tennessee,213,7.8,3.9,1.2,41.2,0,69.9,41.2,10.7,3.3,,,
Ryan,Robertson,Kansas,2000,190lb,77,Lawton,Oklahoma,1,5,0,0,33.3,0,100,33.3,2.6,0,,,
Chris,Robinson,Western Kentucky,1996,200lb,77,Columbus,Georgia,76,4.6,1.5,1.4,37.6,37.4,57.1,45.8,9.3,-0.1,,,
Robert,Rose,George Mason,1989,180lb,77,Rochester,New York,2,0,1,0,0,-,-,0,5,0,,,
Ron,Rowan,St. John's,1987,200lb,77,New Brighton,Pennsylvania,7,1.7,0.1,0.1,44.4,100,75,50,22.2,0,,,
Derrick,Rowland,State University of New York at Potsdam,1986,195lb,77,Brookhaven,New York,2,1.5,0.5,0.5,33.3,-,50,33.3,7,0,,,
Walker,Russell,Western Michigan,1982,195lb,77,Pontiac,Michigan,155,3,1.2,2.3,39.3,15.8,80,39.9,7.5,-0.7,,,
Brandon,Sampson,LSU,2019,184lb,77,Baton Rouge,Louisiana,14,5.1,1.1,0.7,46.7,37.9,66.7,55.8,8.5,0,,,
Melvin,Sanders,Oklahoma State,2005,210lb,77,Liberal,Kansas,16,2.6,1.4,0.2,48.5,66.7,70,51.5,10.5,0.2,,,
Charlie,Scott,UNC,1970,175lb,77,New York,New York,717,20.7,4,4.9,44.8,25.3,77.3,44.9,15.8,41.4,,,
